mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,mode_3_N,mode_3_mean,mode_3_stdev,mode_3_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
28807134904.680187,2.405149132371421e-09,1.4366048298877327,0.7450013849440235,13556472.895523,2.1227297744831267e-06,1.6360131215166134,0.3952997622484022,14190946167.291458,3.373855674130432e-09,2.194672197137956,0.0464367898710727,0.0112447931620358,257.284068802998,91650.78869132456,0.0012107297232037,SciPy,Timed Out,296.2263765335083
169008361.34005502,5.129811078367067e-06,2.2093064266710023,0.1019992671524263,269308614.8763479,3.92170058524058e-08,1.5264151838110496,0.875667387766752,88142497.06724742,1.555743704075311e-09,2.950269673500932,0.1845710026957994,0.0548675961174813,308.8956572903736,79602.97962041477,0.0494080441654652,SciPy,Timed Out,276.884761095047
702850401.9674445,8.278051889166084e-09,2.6366722485928715,0.0389238724403019,90067.04699283902,1.5654218983565022e-08,2.9593858436763854,0.674381060123181,520043487922.2037,1.14709156666473e-09,1.996256824073197,0.5157510048602206,0.0168789916494654,275.97115603621774,85049.10685071739,0.0055252603673253,SciPy,Timed Out,284.4026565551758
1589385983.7456849,2.281075849326951e-09,1.6259233345425492,0.0377971783219906,12073120.846048746,3.00208333015612e-07,1.331385474101829,1.404413563641349,31095536.754164062,1.2277171536407734e-08,2.6206076781225365,0.5228565106420381,0.325001560246584,296.59906139973384,100235.250234677,0.0184495600754671,SciPy,Timed Out,274.69119143486023
33623902464.51498,6.4386294698705905e-09,2.721019860766499,0.0402017892107722,28833545.22115063,4.509253090492292e-09,2.073170078247358,1.152825607966649,10454361.881877294,1.21087628535259e-06,2.95684498095065,0.2887993813118521,0.360083977282056,254.22465395061025,87810.51685895733,0.0009762829723305,SciPy,Timed Out,274.44126987457275
92723935.68428536,3.771362423912855e-07,2.2468268930985755,0.0535720632682427,5399014266.759416,6.072212187770545e-09,2.4911548716874,0.686400572799645,6442437.081180534,5.798619142430993e-09,2.6250514570029786,0.044696487258642,1.1995827743644856,250.56431034241467,99088.05424923672,0.0006295538876034,SciPy,Timed Out,274.7621183395386
15224229781.826782,4.423297812057336e-08,1.35896933448787,1.394626030178263,18364989.73695581,1.4493908282610683e-09,2.185672677161583,0.7785642750160666,1309832816.448311,3.149240492206498e-09,2.3501781145691307,0.0942257802937025,2.308455139577212,283.54500471862616,102339.0159775577,0.0077634694840961,SciPy,Timed Out,273.28406524658203
27460712.26377799,3.780381803962853e-09,2.7109743040599925,0.0978118237399258,279908845.8135793,2.4355158800133817e-06,1.9007314498216756,0.3298475698741692,467001.1264963134,5.819375559784789e-07,1.7972235390269886,1.30250416374357,0.0297997373478413,297.392286972439,100304.34360794806,0.019364136493147,SciPy,Timed Out,272.21528029441833
43172028.27992462,3.3511557677182556e-08,1.6035123344432771,0.1883000297702827,119416202.80037436,5.984412110240408e-06,1.593114882686549,0.7426756166892469,31092894607.7133,3.4373483170889156e-09,2.294642633338307,0.0660230048880228,0.2006509243129262,257.19275350179305,97894.91585317916,0.0011247758320947,SciPy,Timed Out,273.5340867042541
150303928404.9376,1.246540381028132e-09,2.7706310290425056,0.3810586811618565,125976.8085003059,8.418024219638235e-09,2.395806838667526,0.9676877797875464,3145515.075895529,9.118082036518874e-06,2.5755456787437074,1.2787080998760567,0.1803793321483926,268.91008656158124,83540.46528636645,0.0033444309394575,SciPy,Timed Out,272.49929904937744
