mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
151760520.43246287,6.793647929176408e-09,1.748801687734058,0.4145404669107611,3611812723.489051,4.705315746528743e-09,2.761356499496657,0.0624644114401667,0.0131988071001507,276.4895400411856,94588.3354658484,0.0050989445884122,SciPy,Timed Out,1169.5099320411682
165593895.03327242,5.131718826585268e-09,2.172431632848393,0.021426293768507,515403.3435506948,2.812328485231877e-06,1.7058784379336367,1.0317537724080528,5.898219051098467,284.72355610878753,93380.38491866869,0.0091292139190568,SciPy,Timed Out,1029.7132999897003
302013.0572194339,7.96311402270169e-06,1.5465188927019908,1.33644348660383,294044328161.2194,2.083972487822294e-09,2.911443476088159,0.0364175624968635,0.0674512858269797,284.14235466042373,84685.24071445971,0.0096947327585244,SciPy,Timed Out,1079.0651245117188
1791269.385165795,2.430144499995255e-09,2.158867995109252,0.1050430698980038,546.8509300441476,7.609601256462333e-06,1.3949434303676906,1.272689832871181,1.0182621989271023,250.2749320561044,103775.02109384816,0.0005800659720678,SciPy,Timed Out,1032.2453050613403
15873706.68245633,8.633606192984431e-09,2.9136168530053856,0.0579288048602476,4051745.59157108,1.3491482014313234e-07,1.8274267752843485,0.1994911978973078,4.172067065563191,301.581129148098,82125.13976229249,0.0304902044047101,SciPy,Timed Out,1034.1756300926208
298329.41310410347,5.774538206019234e-09,1.8537107435261,0.4426069661021931,27155395.5718156,1.6018790269542826e-09,2.717337557887113,0.1001666748216177,0.2193267370005716,252.18049733999155,89454.7519557786,0.0007954229770234,SciPy,Timed Out,1046.0580332279203
4531999416.819277,2.43240342196369e-08,2.605581671995808,0.011322424451141,60397173609.830925,3.64980338812064e-09,2.2104213749941763,1.4515568577089557,0.4417104039682164,263.9010921483676,63634.28954296378,0.002955035646916,SciPy,Timed Out,1034.2619392871857
47687956.76280395,1.5842924582520087e-09,1.5101261935714303,0.0491409684011967,108592543.8867946,8.07926988180947e-07,2.27914451886955,0.4090830482771033,0.1792108586290832,263.00745793857084,65421.60033462578,0.002677543301202,SciPy,Timed Out,1039.6602265834808
813542.2910078728,2.041318381625634e-09,1.532650352727145,0.0158176663427087,1274.3565958973566,8.519773842207425e-07,2.0617854340910093,1.2601565264201555,0.4421017002125166,306.6298517584597,87264.08209647177,0.0387306733400969,SciPy,Timed Out,1036.0625448226929
266187.0649970093,6.413356641711028e-08,1.3450054977519177,0.340286087564514,19378500.409408223,1.5431544766765631e-09,2.958349945394272,0.4214327681970924,0.038908754703183,250.79965853774763,73849.40120743796,0.0008540699469918,SciPy,Timed Out,1116.159502506256
17085.184503148805,4.0607826440376585e-06,2.692714897994675,0.5282821945893907,554198329.8699715,3.279895692859244e-09,2.605964196031212,0.0403967335704894,4.696555212268571,299.7832460269674,72041.49135599927,0.0313340774558664,SciPy,Timed Out,1033.6626102924347
1525275398.479231,2.7582469918116435e-09,1.9538024203516,0.424988396989192,163531411.2503991,4.880498004463279e-06,2.0766193728786866,1.2167577468454582,0.0159074967760015,299.7914757689573,55691.66342262652,0.0411628979816691,PySDM,Timed Out,1005.5106530189514
16749.725240999076,5.749450077720668e-07,1.6639355639692923,1.390525132697822,17610707919.428844,1.1275046579658861e-09,1.498122206563178,0.0309140893065051,0.6950906331241152,295.45771401402857,55597.953746332045,0.0313510153938685,SciPy,Timed Out,1036.3664536476135
65410.9881391168,3.739565471796975e-08,1.4636318904667531,1.396768285479652,952088.8585588564,1.4250199397759123e-09,2.85156261743645,0.3015311739305122,4.350961391840138,298.9415907274972,83886.2516723313,0.0253726564080421,SciPy,Timed Out,1032.7063970565796
545254.8741226153,2.2408363085960677e-08,2.777233160890224,0.0016631273845683,30007652.84116231,7.06020293055306e-07,2.294799747684327,0.3002450602674656,0.0133348070667149,251.46255480818556,92728.61052780376,0.000720723742657,SciPy,Timed Out,1173.3098726272583
22522941.516816054,1.4436537268368518e-09,1.998896673967273,0.0150276258995949,5269.3823543936805,3.371758390209461e-07,1.8648202958582765,0.5607803199082255,2.0234304491607347,264.62534432658487,63700.53390132867,0.0031250894163737,SciPy,Timed Out,1030.3117978572843
4155704.553543855,1.3881136253436174e-08,2.611759068974209,0.0071213928225643,81795868.33512619,5.5855728718790205e-09,2.3945647413216617,0.1648785785022254,0.0662525896687522,274.8895292397478,89617.60818289797,0.0048001014685487,SciPy,Timed Out,1066.5434739589691
7313160151.977961,1.0239176817825102e-09,2.55658642449578,0.2707106370770845,13415.252534810215,1.1817485257593873e-07,1.7239141789251335,0.8865577233654025,0.061392829875259,248.5125573881529,75233.561946161,0.0006840907567908,SciPy,Timed Out,1064.011019706726
3738239.7829380273,1.0675897869881338e-09,2.681630306598536,0.244953359230432,6497.303991212471,3.454169657219e-06,2.5202092181338136,0.4360905117950774,3.1981677476134225,269.7222901556162,59558.96569076111,0.0049487484007674,SciPy,Timed Out,1029.031442403793
7771868.792546261,8.503234523046175e-07,2.923915127836953,0.8609908695746464,6851402.947682877,3.6175795200463294e-08,1.700981614498023,0.0048195846992195,0.0127763565915194,259.76746945446973,65868.31157358842,0.0020484190471811,SciPy,Timed Out,1277.5884590148926
1125.125970699777,6.7675438924085405e-06,2.8673441395579817,0.4070970929892845,3848456985.66536,3.8997903049839794e-09,2.9503194485121567,0.0185679888085714,1.7270995154202464,277.29119361902144,54655.97076376712,0.009401369604135,SciPy,Timed Out,1035.291134595871
17619752900.0768,1.0261122395426584e-08,1.387302424034671,0.0052473600419999,145982.9925583075,7.71651408571304e-06,1.4702148469937364,0.0189423029777536,0.4388294429686304,285.0438804527262,86382.54903285325,0.0100952532114444,SciPy,Timed Out,1037.0895516872406
9575.898356213844,7.913340428999022e-07,1.581010561582724,0.4250104300114551,9333927942.080853,5.150042132099075e-09,1.88755104772009,0.0003015873941874,0.1345350926058484,249.8937438500133,93749.68101652407,0.0006208469882916,SciPy,Timed Out,1062.5346472263336
214719752.6104737,2.588330434022941e-09,2.7520421645783006,0.1130287934696586,110146901.4969016,6.506080703435111e-06,1.6080541282972975,1.4933387218547782,0.177203844401202,282.1833204724955,99678.09146338192,0.0071950647011956,SciPy,Timed Out,1045.630485534668
