mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
84566011.32104641,1.573867114316006e-06,1.4503501803382814,0.0851795588615458,78686245.20012486,5.1022999848974325e-06,2.874573299826732,0.36561142258036,0.1019995719065801,256.6065765814633,56993.576418862125,0.0018234495588733,PySDM,Timed Out,1004.793042898178
210987529.130408,1.8487292911776247e-06,2.8019588603773045,0.6905875597953364,1133713320.7761612,3.890424444428953e-09,2.9318609135710605,0.0889457885041997,0.1008686694050334,284.25990590446435,101758.22946341432,0.0081110025182349,SciPy,Timed Out,1080.6995537281036
345345696.0999817,2.696393170408531e-06,2.036494475996415,0.9540659165832546,154136693.06933194,7.554567650220683e-07,1.7750427535511255,0.8962383823176623,0.0684262910688668,274.1651779198181,54105.918258381775,0.0075807413679901,PySDM,Timed Out,1004.802416563034
716795768.0560044,3.179428556661732e-07,2.6190860588485307,1.1814115947116448,42750179.73350448,9.319554150128073e-06,2.0262567742707107,1.3809163183652964,0.1998149064380116,262.89231831809224,74300.00511473612,0.0023349121656411,PySDM,Timed Out,1004.8092844486235
1732014622.991817,2.953750017608265e-07,2.9301287491244183,1.140989664451281,46445231.80153402,1.381024096246241e-07,1.4609719634339342,1.0940835895724113,0.0752943859774446,307.7640281978674,59572.82800851003,0.062613018564775,PySDM,Timed Out,1004.8295969963074
1768565.3951707543,2.7046179808725616e-07,2.716873272057456,0.3264368689723266,463446539.1917492,9.562354044179963e-07,2.048597489565596,1.065076082415773,0.0209565391647808,283.32283983834907,55288.92316829696,0.0141590802915646,PySDM,Timed Out,1004.95343542099
236637651.13440588,3.43415386019186e-07,2.107578607950886,1.05838069373627,783409456.2777994,2.5130737765538197e-08,1.5563321667303094,0.94956185982592,0.0652856576147824,306.07950912056634,55653.22820859887,0.0608601804010106,PySDM,Timed Out,1004.9419682025908
80131109.22202195,1.1067381427677911e-06,2.003955856069201,0.494277778634043,1667215027.496812,3.746543594208122e-07,2.997353177931928,0.8611994742768463,0.0352010370751016,279.21926105136225,69202.71566643746,0.0084808430635306,PySDM,Timed Out,1004.919367313385
77508296.33060792,1.6511003103835801e-09,1.3334514362698124,0.3819702715822133,159094576.16829833,2.823440270715773e-06,1.982698822678063,1.0679573403688571,0.0236601376480132,273.8637009271072,91247.0574252892,0.0043759293148352,PySDM,Timed Out,1004.124107837677
60214253.85935719,6.923308129930815e-06,2.433539985041768,0.3331091685847562,27574569.25208303,2.1950771919192173e-07,2.276910526034001,1.4583665525604572,0.1120555037087772,290.2844229084153,56530.503492823824,0.0220526783419047,PySDM,Timed Out,1005.0689396858216
