mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,error
8302620208.634003,4.6793488909899125e-09,1.7405513708610507,0.0372127179310815,0.0101786173391405,282.33492036219326,93045.82859364318,1,0.0078743222605069,Condensation failed
52543983.60770654,1.6415746906200682e-09,1.6036148664781045,0.0900380182250204,1.4407263399523056,262.50412588375707,63236.74018620977,1,0.0026885694131752,Condensation failed
2241079259.2773094,1.2779613977713366e-09,1.695930548846268,0.0811183813969827,0.0338635285720848,274.5526303757416,72956.17273362583,1,0.0058231194751065,Condensation failed
3666477133.1285343,1.1417889521967292e-09,1.7820696653053485,0.0408653489486793,2.519987167525747,266.9392003995742,94448.88039761005,1,0.0025437065827376,Condensation failed
208480106.44722036,1.290224646687164e-09,1.7351812044337664,0.0727628441923979,0.0136746717410827,268.66422480769523,70515.69662441942,1,0.0038928193552098,Condensation failed
17827115.05980816,7.01786156897603e-08,1.7154449794887292,0.0007746288991425,0.3493013668894442,267.89280140864315,60551.47758110005,1,0.0042788569127218,Condensation failed
175397971.98268104,1.0456286414564437e-08,1.760782873773444,0.0076027151367584,0.2894837740300373,308.6809444164456,68543.53193277027,1,0.057380121212059,Condensation failed
444715278.7892299,1.370840333965311e-09,1.6129252472073323,0.1316630850777603,0.024857379140997,273.0590203035412,91713.6240826602,1,0.0041468767797656,Condensation failed
33325248.15297264,1.3149935291779914e-09,1.790180406284973,0.0205269417164987,1.454947046107817,263.1031472363942,55647.45818965404,1,0.0032065121198568,Condensation failed
510355205.5206019,3.419969311785782e-09,1.7905059004091448,0.0595961197812082,3.67642248960546,283.81011752861923,91526.41458698155,1,0.0088507458519272,Condensation failed
85134282.96047893,1.8166752146629471e-09,1.7332155535507907,0.0510139992871811,0.7839373150520943,297.0263408517318,78716.80382961032,1,0.0243258439231199,Condensation failed
1813181972.6897,6.9449765589101185e-09,1.7401021207327088,0.0097744638424826,1.7661222529351237,295.19063919689853,82750.32549058276,1,0.0205889157540296,Condensation failed
349788802.4874236,2.3946294967785446e-09,1.7998829145294986,0.0148291669450346,0.0345140155275308,302.535197494218,59164.70476709454,1,0.046266146963952,Condensation failed
4751255900.905171,1.0495744121651321e-08,1.7873455383778614,0.0181056335442323,2.264305738790633,272.8351908935046,56312.32862205025,1,0.0066714579772922,Condensation failed
1649916037.1296008,1.3926074310438016e-09,1.7555832491692294,0.1240635177798001,6.774643512755064,295.12408384750194,72583.50931531188,1,0.0234831564459455,Condensation failed
55427138.87023421,1.9493573242624402e-09,1.734434931724279,0.0936398068091259,3.771794742070093,270.55533150568164,99215.46613370183,1,0.0031839909706398,Condensation failed
33502880.28221812,6.063786375418779e-07,1.7817938746640256,8.651820442272885e-05,0.7316617675449671,300.78752073166976,103770.11553484516,1,0.0230073891355161,Condensation failed
7272158660.75839,2.8251782967426114e-09,1.7739062284699396,0.0311168697603213,0.0934462283435342,302.9670736852159,92937.90522507824,1,0.0294330043478911,Condensation failed
6302199898.917324,1.2521342997953996e-09,1.7455541294480077,0.1042352912840436,5.401227710928094,278.7807878811864,88797.85275128487,1,0.0064555604344553,Condensation failed
39958620.50727116,1.136481575313553e-09,1.7742031776718894,0.0668239046444583,0.0539388565529535,260.2741786364914,98969.27705765497,1,0.0014335015877049,Condensation failed
161369924.35820636,2.698422254634634e-09,1.7971154797188351,0.0222411584280449,0.1284030457467979,294.71865085555595,75330.64333137964,1,0.0220238472545478,Condensation failed
126048800.60262188,1.0450946166337555e-09,1.7551820491570893,0.148505185389131,0.1957024082987967,308.13246709305275,96522.6265162393,1,0.0384307077611,Condensation failed
64882058.53305801,7.4322468796002315e-09,1.7220670196380374,0.0193706585257072,0.2200634564706783,250.47926883692497,59592.973256246114,1,0.0010396581700037,Condensation failed
2564798100.072657,2.0097774956873997e-09,1.630466088424887,0.0471400381752314,1.2674480967603876,279.3583455259253,81681.5986244799,1,0.0073143075639091,Condensation failed
379708234.14643705,1.1206937671089606e-09,1.6440171926526153,0.1653643306392356,0.7272445835474729,260.3877497807001,56693.49157983977,1,0.0025300126624087,Condensation failed
3784143207.832748,3.095470343992522e-09,1.6675181076386647,0.0526120054969953,1.3075194250887343,271.7592675320345,81110.83622152502,1,0.0042645021047553,Condensation failed
4448037676.223561,2.087678125585346e-09,1.7605025502204423,0.0449715548227813,0.9759674373470464,269.14045851951664,101314.19856333664,1,0.0028034999218192,Condensation failed
17493993.430373896,3.4065729518658513e-09,1.7669500561291125,0.0608794572411192,0.7808365563622108,289.3856348510038,83603.32839525663,1,0.0140496098610624,Condensation failed
204602929.43495035,1.40915263609071e-08,1.6961472668033608,0.0121908935809614,4.512410666163543,269.7101956186752,97152.33668482544,1,0.0030524266981924,Condensation failed
443384346.4516589,2.445230357175669e-09,1.6084006800449522,0.0006598400108516,0.1988362908554145,279.8320759609418,67184.94496146696,1,0.0092155351536692,Condensation failed
436946642.354409,4.706180518553989e-09,1.621317921212264,0.0126225782802338,1.9500504135219356,305.82978953121227,102243.57855168516,1,0.0315811362872907,Condensation failed
98164687.07353956,1.2067609639084303e-09,1.792731610707486,0.0659299637847509,6.42352284303109,249.5354430569138,71391.64828498673,1,0.0007979684350031,Condensation failed
3138368505.866567,1.204647118632336e-09,1.6533951195096324,0.0233297565646138,0.7906169516006711,258.1489656817747,65281.49212875082,1,0.0018277920207139,Condensation failed
65459488.41702963,1.8169648033186902e-09,1.6441693520994791,0.0982411432466935,4.5508244140783845,275.0268469044124,76781.86744472748,1,0.0057234833053556,Condensation failed
770779113.7170515,1.1367787279999896e-09,1.7175711061515986,0.1489297805612547,3.5270751934814077,273.22094543513924,63167.92294788978,1,0.0061112751690486,Condensation failed
1363172869.243665,1.0264176414250935e-09,1.787706916075957,0.0523279376019907,1.9687650877919427,275.59720892727256,98380.5472474375,1,0.0046446301932901,Condensation failed
22440119.12529198,4.299612505010415e-09,1.694481313873319,0.015216246752909,0.0722774304891718,270.3488983358231,80584.45952015548,1,0.0038646227673482,Condensation failed
61999140.837465845,1.348023894602469e-09,1.7932072752993002,0.0550221041062135,0.182661443975906,253.85690921115264,95092.48974753334,1,0.0008734825509256,Condensation failed
29982951.37380578,1.920764834176884e-09,1.6990959108099115,0.0544909935138979,0.0125014296419917,286.2200918887337,103409.3409849002,1,0.0091889911266825,Condensation failed
1782910756.79873,3.204380161228429e-09,1.6910092334536186,0.0190706778106863,9.479358709055774,285.9090634641078,57436.22606160236,1,0.0163958665901597,Condensation failed
