mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
489448.2343865203,4.183103469903372e-09,1.9236749571470864,0.0153471324682546,3.5893220932672576,257.75130463666966,104188.59235109128,0.0011069355283694,SciPy,Timed Out,272.8724579811096
27630142.407861788,1.5076382904605219e-09,1.869807535250498,0.00946713059786,0.0217189483301935,251.6127179643889,74016.07190383387,0.0009243993076187,SciPy,Timed Out,280.55426049232483
564664319.7571734,1.936477105598929e-09,1.367190249618092,0.0249124993210544,0.0183794460324049,270.61184801232645,94901.2461918087,0.0033435899833695,SciPy,Timed Out,277.8304784297943
1380484.6322388838,2.0981018707598612e-09,2.7975121835870045,0.0367514864526406,0.1646159192104175,252.74023870296568,90334.20266429284,0.0008352281980608,SciPy,Timed Out,281.83767557144165
51441160.12136308,1.0869097081177055e-09,2.1347202287800577,0.261613308993728,0.0700114824296358,254.4144094558003,71746.01589130494,0.0012148348406355,SciPy,Timed Out,273.0668430328369
4067335.221791085,4.818951735392839e-09,1.5574410002070138,0.0202058825270963,0.0221173469919239,267.7095877634414,96450.65890879516,0.0026421783792104,SciPy,Timed Out,280.0322639942169
681240301.436265,2.019932234498465e-09,2.691338829102208,0.0267519507227451,0.9175263172843062,298.4373126722657,64654.71482063844,0.0326349209123887,SciPy,Timed Out,268.5618197917938
40842.09891479164,9.833806451489517e-06,2.376404435774828,0.9573438730937868,0.101381001812908,307.0010731850209,55435.478138924205,0.0654119000756464,PySDM,Timed Out,244.27811694145203
2169464797.2190094,2.311809952982614e-09,2.404913717808866,0.0364502067900635,1.4800861618539696,261.09610492183083,94634.14243182364,0.0016024559858395,SciPy,Timed Out,269.4444544315338
1615476230.7762578,2.144358344343651e-09,2.104298693838768,0.0355996069191772,0.0130413950501181,299.8671839924172,99657.8326200157,0.0226886722589067,SciPy,Timed Out,286.51101326942444
5374251045.621752,1.5556165522533996e-09,2.8814181450355285,0.0882028814092603,1.679064658689032,251.76314135370663,104031.0949475433,0.0006661022877293,SciPy,Timed Out,270.96942687034607
12106435.343198802,1.5406939097041984e-09,2.6385674460663964,0.1508218247595799,0.273003320101695,257.93881154730053,94585.40949738793,0.0012386421712222,SciPy,Timed Out,272.1811532974243
2093524.769330516,1.8485626806453078e-09,1.7753654616949883,0.0283101355975455,1.8168641893451267,287.57483351162705,73092.25827866985,0.014312444253912,SciPy,Timed Out,270.6821458339691
193943998.4959964,1.1107525982761847e-09,2.791668304028037,0.1696070318746302,1.177280014521473,263.82075591071145,88727.2812146802,0.0021244284226017,SciPy,Timed Out,275.5794305801392
96688167857.2206,2.079618192292942e-09,2.297681217586101,0.1760617718055945,0.3950660859222318,254.03717156589545,71361.39325309075,0.0011826307352972,SciPy,Timed Out,275.80481028556824
