simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate,ARG_act_frac
0,1.46e8,1.06e-8,1.614721775,0.505462273,1.319141543,253.2197397,79724.73485,0.756118283,28.5,1.019178235,252.8699266,79320.75854,0.00098059,5.99e-6,1.922881808,0.438,0.0,0.39408709050604873
1,1.16e7,7.5e-9,1.724204392,0.927569079,4.483353883,264.5598818,53774.52964,0.854166631,46.5,1.081420786,262.7246445,52296.71358,0.00358293,0.000140898,8.160365614,0.925,0.0,0.9007159959505462
2,2.6e9,4.44e-9,1.7212962,0.621991855,2.49380137,307.7638805,90195.60927,0.974218849,14.1,1.011946851,307.4673317,89833.35746,0.040394373,2.34e-5,1.201841005,0.034,0.0,0.004552134341753444
3,3.8e7,6.54e-9,1.705464967,0.860877945,0.019063111,277.7963272,85821.29713,0.104002686,100.1,1.00107197,277.7776506,85801.09443,0.006234403,8.97e-12,0.107143394,0.0,0.0,0.0011965347741683674
4,5.91e8,4.34e-7,1.722074376,1.044765076,0.022906213,308.6142659,103380.2681,0.384889844,71.5,1.000004438,308.6089356,103360.992,0.036749962,0.029905072,0.000506876,0.005,0.0,0.048855950585934504
5,4.7e7,1.38e-7,1.672942582,0.224912538,1.602172143,283.7156176,84568.92658,0.335107316,23.8,1.01134237,283.4257072,84175.98055,0.009495969,3.4e-5,1.139437824,1.0,0.0,0.9994863601810853
6,3.23e7,1.69e-8,1.723856248,0.483889906,0.966385775,305.8279436,68118.27618,0.97661161,37.7,1.010913223,305.5390913,67818.58839,0.048582857,5.16e-5,1.094425783,0.638,0.0,0.5530436704449758
7,5.76e8,1.99e-8,1.72522243,0.802282452,0.034724834,254.4866104,93419.07594,0.842320292,100.1,1.002156408,254.4533706,93375.50666,0.000938136,2.1e-7,0.215649879,0.087,0.0,0.05686785718870474
8,4.0e7,4.55e-7,1.601283994,0.936360368,0.019299734,288.3904014,96991.18615,0.860651227,100.1,1.000070459,288.3812628,96968.93073,0.011310993,0.000945121,0.007104148,0.729,0.0,0.8445481071693725
9,1.95e7,8.11e-7,1.663043348,0.951677604,0.394062244,269.7298608,88397.1198,0.659820235,47.4,1.00143835,269.6036864,88188.09372,0.003342352,0.008343529,0.145170531,1.0,0.0,0.9999979374782533
10,6.21e9,9.96e-9,1.695050346,0.94272259,0.11414825,260.0681421,72052.16011,0.149655919,56.2,1.003589338,260.0077078,71991.26029,0.001937043,9.37e-7,0.359354502,0.027,0.0,0.005103142414409734
11,1.31e8,1.07e-8,1.750246615,0.471104376,0.055889376,248.672336,88500.65506,0.752433199,100.1,1.004109959,248.6177661,88432.6233,0.00059579,1.08e-8,0.410806181,0.021,0.0,0.026443607283303028
12,2.47e8,5.32e-8,1.716854696,0.301201796,0.158024012,272.5341382,65741.21001,0.771439825,36.6,1.002422506,272.4834448,65692.68904,0.005577645,3.25e-6,0.242808532,0.545,0.0,0.4528589021908985
13,5.4e8,1.68e-8,1.626897653,0.697872604,0.02952952,266.6972222,79619.11358,0.168929454,100.1,1.001820666,266.668426,79588.91889,0.002964006,3.7e-8,0.181987353,0.017,0.0,0.014018121246870574
14,2.15e9,7.67e-6,1.693962674,0.808840041,0.012296504,266.9966129,84112.89036,0.726566362,54.5,0.992549589,267.1877608,84357.16602,0.002882614,21625.70402,14.68100756,1.0,0.0,0.9964441983291104
