simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate,ARG_act_frac_CliMA
7097,6.611979065231376e8,1.4558970598987502e-8,1.6339610082350178,1.0391882772585472,0.5583170108374549,284.726423246226,68063.46635142018,1,0.0127259645555855,19.500000000000007,1.004593013901394,284.63023980430125,67972.63997401686,0.012720168517646,5.8017310399675415e-6,0.4611939040944701,0.238,0.0,0.133614390479819
7098,3.756135631157856e9,2.2834042215998937e-7,1.6667895214062365,0.0149310645715779,0.1277222189034213,251.49616031767417,77102.2866889529,1,0.0008783457153882,100.0999999999986,1.000589819802684,251.38855464010777,76968.07407395856,0.0008721448958357,1.651319766633127e-5,0.0594559009776896,0.163,0.0,0.06120220761645184
7099,2.679320154094616e7,3.6291042864758016e-8,1.7421781586082856,0.8509194868241917,9.935247471035328,288.6019132041864,86402.60787331239,1,0.012906837587236,19.300000000000004,1.0557760800063505,287.1814548340477,84424.4844885864,0.0127214941812939,0.0001853687775324,5.610663594087328,1.0,0.0,0.9995364505739245
7100,4.902867014105613e7,1.818503515385881e-8,1.742657550251986,1.0796938174601962,0.1428803881255632,304.80494671397696,58812.04361958743,1,0.0535627838632205,73.30000000000011,1.00352886057282,304.7157686382876,58736.43095126002,0.0535487310522926,1.4056007766114302e-5,0.3533762703122001,0.343,0.0,0.2057595301356434
7101,7.3151858602888e7,2.1232522623223197e-7,1.6225248220225628,0.0454495700190943,0.0211236787946794,295.0520115690124,82917.42418132757,1,0.0203675574569252,100.0999999999986,1.0006696242512405,295.03543697780094,82896.57927166786,0.0203656686505489,2.727026744347631e-6,0.0670014414135833,0.53,1.5122560692474183e6,0.42699361020718085
7102,3.570372411481081e8,3.8976488957431014e-8,1.7875497527681083,1.14212929164689,1.6454632070008035,293.7323362946913,69695.75159164534,1,0.0224202872503595,9.399999999999984,1.0049234639440212,293.61013682210074,69564.76389676756,0.0224031457421564,1.7908249065651e-5,0.4977202664220526,0.901,4.37616015486242e6,0.84183150790825
7103,3.2066163444298583e8,2.053065427958845e-7,1.6187012432280383,0.637768293477564,0.2385953901688991,250.14582969846805,71434.25880932844,1,0.0008418928221983,89.09999999999921,1.000732323236258,249.96443618296,71225.70693289014,0.0008315087149998,0.0001337743429266,0.0741472490732864,0.948,0.0,0.939633479717544
7104,2.5444499570850947e8,9.836073131033533e-8,1.7650116230394577,0.9428838630481928,8.83550223511499,259.81381267761475,54622.04803512165,1,0.0025063869478095,8.899999999999984,1.0260085149954337,259.12392204538344,54045.05029665631,0.002456608148856,7.124915682116166e-5,2.6351052697347166,1.0,6.957859165664184e6,0.9998715068620583
7105,6.887790349738877e7,1.6724969751474071e-9,1.649748691799973,0.4056710954215295,1.8280625299611843,267.823883994774,77021.77256415629,1,0.0033412895260941,100.0999999999986,1.0935921168951377,266.15526463164605,75229.27634257374,0.0032922908709111,4.89991155525742e-5,9.365141070165306,0.038,0.0,0.002630309846786527
7106,1.352442691236428e7,7.091659451933316e-9,1.775460427023828,0.0677734249012099,9.984662122344131,299.1102285511528,104668.63972083398,1,0.0205928707990907,30.600000000000165,1.0989911260118228,296.7584864602005,101033.4130496081,0.020370679450924,0.0002222025019543,9.93086997514352,0.575,0.0,0.5955777848462318
7107,2.242834858548133e7,5.557539709467112e-8,1.6317140472906733,0.180647791168405,0.0123470207268211,256.9128580845692,98422.99467559806,1,0.0010929095603084,100.0999999999986,1.0008373392122858,256.90080581335496,98406.80955377288,0.0010929057196339,6.8761406700971686e-9,0.0836929875432046,0.044,0.0,0.25391700151071034
7109,1.1036324511908076e9,4.3954509912576434e-8,1.774644498462685,0.6186802828831747,0.0548469635073814,268.13831113936294,96108.48046948246,1,0.0027397593760458,66.80000000000048,1.0009683729413628,268.1094692604612,96063.87652833476,0.0027376842084898,2.9336867945348625e-6,0.0970227812395974,0.184,0.0,0.09614792762407132
7110,2.1983391283020648e8,1.047013003928108e-9,1.792555556802168,1.0258569329594112,0.0140570968771882,309.08773501540736,82265.64334736887,1,0.0482309089647876,100.0999999999986,1.00061215097278,309.0736764034341,82252.54143972462,0.0482309089647877,3.4794838076264045e-14,0.0611845091536888,0.0,0.0,1.8190652317784384e-8
7111,1.3789393724499622e7,1.2544038049887672e-8,1.66039382182548,0.2735829913735162,0.0657061286849097,307.84853657562564,61476.19981500005,1,0.0614721609319723,100.0999999999986,1.0029115990042103,307.7824277511726,61429.94796051879,0.0614721299033413,3.104178466131872e-8,0.2910168599097096,0.01,0.0,0.016684009961941637
7112,4.836565914690749e7,7.602433247695259e-9,1.7862995445609602,1.154614054121408,1.6072316530533974,300.4958306887681,90615.28820836297,1,0.0260234313343039,31.00000000000017,1.0157677258033606,300.10381028954663,90091.19039119472,0.0259824066465395,4.102508239525092e-5,1.5815363634087198,0.438,0.0,0.40843266407760415
7114,1.118950192716936e9,1.0048111193624547e-9,1.602226727812951,1.1579732085060457,8.410117555730304,272.42782779176866,60141.530643869446,1,0.0060577127736578,25.100000000000087,1.1010723496049144,270.52736527148346,58532.38545616072,0.0059564936150398,0.0001012238164492,10.140919321927887,0.019,0.0,0.00016965278858127597
7115,1.1149410694027524e9,4.5579315489270535e-8,1.7521193021882338,0.6978304107489147,1.5964896123038288,303.3185405599476,103981.0296183191,1,0.0267311774559165,6.399999999999993,1.0029184549699115,303.24212243443804,103860.25900903656,0.026722819628441,9.725760139592956e-6,0.2962936008985117,0.777,1.8963977321137782e7,0.725990493926112
7116,5.413920486192165e9,1.148559668922161e-7,1.6927867833410273,0.3648422894925796,0.0118466950460038,301.60482586905414,93237.9623473424,1,0.0270202316149021,100.0999999999986,1.0000167004761438,301.60036990474845,93224.94297191438,0.0270173540064147,0.0001280725412748,0.0017030330975886,0.0,0.0,4.9081206879297845e-6
7117,2.6631933512236983e7,1.8906785504588186e-7,1.6529553464154934,0.8671798189277711,0.168523089168338,300.76034557869355,64913.82225851775,1,0.0375489944892618,58.50000000000056,1.0020855302153375,300.6938307557183,64832.900451090645,0.0375270119391357,4.624951545980711e-5,0.2091031977274449,1.0,361924.44437298016,0.9941842773260412
