mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,error
303404177.00707257,2.8484017315334333e-08,1.662761402920813,0.8142229946884417,0.1062545625271303,281.834751034192,61052.251792496114,1,0.0116719389109383,Timed Out
431201189.6453176,5.054516342051066e-09,1.76885023265674,0.0136542637077515,9.716749392396553,272.0801906907516,54966.39631098297,1,0.006465622292669,Condensation failed
419866852.0993257,2.7680008426940654e-07,1.7269817864483332,0.057440233793778,0.0187691324501663,290.239437936572,65308.16214452546,1,0.0191397306343023,Timed Out
7555116650.724197,3.1367601864400364e-07,1.6160477172735024,0.6354644220529931,0.0190661785432462,302.8870130679262,64580.78503978426,1,0.0430437639336521,Timed Out
4930513994.4808655,4.11598724571647e-09,1.742193440563256,0.0286853663473119,0.051893426554535,277.67298025334924,85158.425479832,1,0.0062288607364122,Condensation failed
260073235.3301864,8.222055799526507e-07,1.7375879203632287,0.6631576649174806,0.1347547960062733,302.10400010562023,64813.49861270744,1,0.0408632173326053,Timed Out
5226747629.148802,4.874527333051166e-08,1.7750142784760865,0.0342903816364528,0.1825162349358735,290.977245407465,103862.69228322175,1,0.0124776314743549,Timed Out
248439930.21252605,2.1598234195728564e-09,1.74393348233114,0.0333224392810199,0.7871324518618834,269.8872082231219,65836.37215906962,1,0.0045754792565113,Condensation failed
2356724657.8539352,1.2342536938569645e-07,1.6084258871706605,0.61179456517763,0.0711866451102971,290.13316826824166,57868.45010177245,1,0.0215356927134948,Timed Out
2054484217.9886613,2.618811375385498e-08,1.6345029982094452,1.0603324217729369,0.0275069135843314,262.007352163658,89034.02321859096,1,0.0018329603451992,Timed Out
9002572122.640474,2.1185428044969434e-07,1.716725611156362,0.2298801532702489,0.0121794692538705,276.4757591023931,83084.82197045386,1,0.0058650002201261,Timed Out
2292916342.355794,1.183230597297693e-08,1.69584253353146,0.0081519134833827,0.1410693585749773,268.08395754477004,80353.17150323903,1,0.0032662340745741,Condensation failed
1619899876.7922063,9.218301294001728e-07,1.6348514456307994,0.6911095142454414,0.0248738481378928,260.1215780436375,59245.9329107096,1,0.0023687465839281,Timed Out
796306381.826073,1.2922965355515196e-08,1.612438418291797,1.0855071163255376,0.0497584644013828,301.8226135588419,81666.76592393908,1,0.0314539003822604,Timed Out
246542594.526648,1.7112368552769697e-08,1.7239431696560488,1.1884074784320564,0.0111450077413602,260.97432388968576,85833.79378033636,1,0.0017499325596498,Timed Out
1863743162.2756424,1.0939823472236337e-08,1.699735569135568,0.547436640151993,0.1291215754585955,298.51323034393124,51631.87218455154,1,0.0416141174990274,Timed Out
2359466720.3149986,4.720104969506552e-08,1.6359787187089878,0.4221998202889904,0.0858623772679223,308.5366660227165,50969.42552071522,1,0.0789897340458316,Timed Out
2522865836.4026685,3.764773975330591e-07,1.6825393813092204,0.8989158891373228,0.0182085917133593,309.1205307913629,86305.06312783704,1,0.0458957853068105,Timed Out
602491131.8606275,6.372425402186927e-07,1.6207408424825107,1.1519597232073333,0.0637196389491795,266.04203458178966,55937.85931553628,1,0.0040182403892441,Timed Out
2566289315.189182,9.78764620421049e-07,1.6657679307687212,0.2721988035450911,0.010852571690239,304.507763469844,102630.76187181853,1,0.0290875025191557,Timed Out
1607623292.665271,1.8347198303328152e-08,1.7140015597859195,0.519091391954131,0.0834098552212064,277.0748234975486,82286.28413858883,1,0.0061806888610291,Timed Out
2170087760.6260843,5.7877809854052434e-08,1.6804192820977903,1.0637655904901864,0.0750996407578573,306.246753873027,63863.08543084306,1,0.0534930871142252,Timed Out
6502792682.383869,9.435451689067676e-07,1.7905970931217623,0.1493836481628392,0.0617190845020566,268.0440207147013,55356.393294786976,1,0.0047379257343563,Timed Out
