mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error
416037984.06263775,5.4194469717242985e-08,1.5725125693158692,0.6373064369217547,3368816446.546945,1.5998744606938046e-07,1.6410208790258505,1.0389233146061727,0.01542493901819,253.97975769769516,87762.29786975244,0.0009565665260283,PySDM,Timed Out
28304422.187747724,1.7837839037282275e-09,1.7569281446882334,1.3260511223809464,123490704.05962598,1.730707020795324e-06,1.6624291637504636,0.1046258151459931,9.447403123324092,297.7922620245724,81794.92983755117,0.0245161800831986,PySDM,Timed Out
1726931919.2551856,1.4281813312468532e-06,1.817104377380444,1.4041260834947091,1096340103.3707037,6.2686045565530486e-06,1.915049406471347,0.381653364036014,0.0115866839953438,282.2463205043567,88582.30783601658,0.0082264104221589,PySDM,Timed Out
116628097.2069526,3.155212428219665e-06,1.6479935705652695,0.3989013076332024,119067009.47753382,1.616205014438383e-09,1.9649666056899688,0.1448161047964705,0.9268380230877028,303.4839936978625,90498.1033815789,0.0312204810650804,SciPy,Timed Out
5091975049.79076,4.987662163110671e-06,1.999691985922721,0.1532650327135157,80263744.26642102,3.2769981305468846e-08,1.5249415216017728,0.4237149747996036,0.0262317471133195,252.51979625437323,53525.671463079954,0.0013841872437537,PySDM,Timed Out
97362228.33343253,1.3447481489011503e-09,1.705565976208744,0.2331555438718882,278951689.1407357,7.661740398268308e-06,1.6040621943710611,0.0647581516093904,0.2652387411990844,297.94052212436395,66842.75470592466,0.0305493070489302,SciPy,Timed Out
4620007028.436606,4.4073510324396175e-06,1.9508651798684,0.5466719126711056,98357304.24394391,1.014096250783421e-09,1.984650128525848,0.0087691974207114,0.3638413833340831,264.683961872852,103299.587936095,0.0019518336380413,SciPy,Unexpected istate in LSODA.
5672338540.660005,1.6968297260516096e-06,1.796620357033851,1.3332763646100467,89474435.73099326,1.1062882210772266e-09,1.7909130436653369,0.3132789976288087,2.798438236922935,276.9641489804296,58207.42876290141,0.0087044880329549,SciPy,Timed Out
3889722190.8247,2.0846685480061706e-07,1.987334534877578,0.5097541797032492,50236311.22810087,4.462804784725066e-09,1.9051125878495028,0.1223078978601257,0.0217244011952576,302.0625979412267,74160.4600701053,0.0353301454213098,SciPy,Timed Out
2268354535.53851,9.25509957180588e-06,1.68929121895707,1.2526439654367834,1229789776.3155825,1.0113546392871368e-09,1.5956160944208837,0.3727717150944296,0.0164864543496522,282.0667487693768,65125.10947573626,0.0111050986563094,SciPy,Unexpected istate in LSODA.
283386015.7081522,1.6782225882390385e-06,1.814908413644446,0.4546673644562792,402369650.9493913,2.371834070572628e-09,1.53526317798296,0.0118221750235945,5.603740764562222,304.86837097891737,92317.12942563817,0.0332139646974682,SciPy,Timed Out
962690508.5457944,6.644848882765687e-06,1.7036015098924036,1.113374878775392,58003716.35077584,1.1228211863530055e-09,1.8065202188292788,1.020019333266734,0.0143907254363624,273.6053706399508,70346.97037235489,0.0056385401555442,PySDM,Timed Out
15627560.64172349,1.2114733527709137e-08,1.7256818998607364,1.0749324779404463,186766429.2257604,5.043309024725701e-07,1.5524138723750156,1.031403506640033,0.0149545218351498,303.5961274356304,57119.72890969467,0.0513141618557606,PySDM,Timed Out
1232311011.841504,1.0088456611128214e-09,1.510372213427239,0.1043986791113274,6014742767.992023,1.6740696385976106e-07,1.836049437658037,1.1529018083059643,0.012771711516661,261.9362125894915,69203.17712914184,0.0023467866710009,SciPy,Unexpected istate in LSODA.
33813227.711892925,7.1465648002538e-07,1.8746066001101789,0.9965816191661622,7639845297.385161,2.0088993468488246e-07,1.5499636436462556,0.8441339769411886,0.0371135778031316,304.6794336676629,83208.31004641946,0.0366488913092465,PySDM,Timed Out
1427150880.208157,5.25308327306865e-07,1.5831185330654756,1.1102575552663767,579207376.6322803,1.8422685569292106e-08,1.7256892570722049,1.3995070325533951,7.064482554283146,302.71883302092454,65567.23842749737,0.0419172234404973,PySDM,Timed Out
547522833.2123393,1.7162080502049392e-06,1.641344661108964,0.1516184181577501,475429885.5337069,2.25089620992722e-09,1.8919883785052192,0.1893469745350926,0.3363077615136399,295.9076899221764,99422.00000317268,0.0178221608627324,SciPy,Timed Out
15855557.274045952,1.3449914279450655e-06,1.6384763803502085,1.0701356726391908,53344827.69114371,1.7550195775725895e-09,1.8718400966448636,0.2380191498407176,0.0252981985396891,255.14245917564836,93423.8821743145,0.0009920972579593,SciPy,Unexpected istate in LSODA.
168502217.9580985,1.0115672105890266e-07,1.8830574673634812,0.0325678578310033,1292591173.7066195,5.232880441256646e-07,1.5522567677556904,0.865180034760899,5.206895755365295,303.04677616266247,86049.20523041124,0.0320640075520281,PySDM,Timed Out
8556822980.087906,1.2514010189239276e-09,1.702809844371276,0.311312855341606,246463745.1432612,1.2594848244971177e-08,1.6641948744415744,0.6840318109952617,0.0323158799633979,290.48901225448174,72180.30915417185,0.0175493284005621,SciPy,Unexpected istate in LSODA.
6054401605.163862,2.903570531099623e-07,1.5575530065845151,0.3909482657804338,189690271.3772132,1.0495435987423792e-08,1.950230020548684,1.472943510031321,0.4871082731163385,287.8526436592979,97954.81375363714,0.0108132445821329,PySDM,Timed Out
236792303.72280383,6.796107638925394e-09,1.7638924974110592,0.0019159783683527,724439113.845619,5.938648350754849e-07,1.7322040668820844,1.3124136759262126,0.4270451493189142,253.94104398353625,72130.57811734127,0.0011604004130438,SciPy,Timed Out
432729878.3973083,3.612647222184443e-09,1.788132833037845,0.8692319409711965,9827790235.109076,6.063380550568221e-07,1.8506401950373077,0.1831580282164034,0.0107419732480007,309.3705610872005,73754.48458875726,0.0552056639615727,PySDM,Timed Out
220542060.6582656,2.2324728989432185e-07,1.977114757790224,0.5884398172351719,2961718659.571413,5.123179198692968e-06,1.8782939966549332,0.3568086862442247,0.0261942032700935,284.26088787778656,94706.86052844228,0.0088133225550816,PySDM,Timed Out
30957874.13253672,4.11526216156152e-09,1.9707968242498672,0.502448595521382,3711150068.1486425,9.127880747026616e-07,1.5631433529864414,0.3199714678615692,6.668466081343653,303.49535229576105,57418.548658669766,0.0507082655316624,PySDM,Timed Out
