simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate
12,99837170.82872093,1.2908531353639787e-09,1.6635257056151012,0.99499803534878,2.224735362394438,284.706546232386,98727.31491854214,1,0.0087063621032629,284.6869472692497,98703.5182782958,57.53493299186649,1.059151173811048,283.5542401551284,97216.5409288064,0.0086738152998381,3.25484370018852e-05,5.949722502946342,0.016,0.0
13,478635726.5325753,1.3249790324728407e-09,1.6515394837727926,1.05641480919721,0.0741548347944457,290.1811859049287,52069.48007009128,1,0.0241028204872045,290.16654271947453,52060.27976526526,500.0,1.0143708148337274,289.8593004024685,51829.40327147438,0.0240647349872502,3.808722858498426e-05,1.4658141099537891,0.0,0.0
15,31328231.40378507,1.589252008761377e-09,1.6495344082558108,1.0575103239298989,0.011689027407724,270.7071429909301,76971.60691674278,1,0.0041571027282485,270.7048571779814,76969.33104902212,2350.0,1.01567264068284,270.44398103984247,76704.3860102464,0.00415494180824,2.1609330889473904e-06,1.5715852170310909,0.0,0.0
16,1681571743.3283384,7.047736664739497e-07,1.6504239272651755,0.8685962187720482,0.6255645422994383,261.468869252592,84903.50151029363,1,0.0018411016901527,,,1598.5560759633606,0.993146968648088,253.7713398033748,74324.62497438607,0.0011021946269666,0.0007456153895702,-0.6488622636076857,0.0,0.0
17,3040209534.1501355,1.682407581061671e-09,1.7208137863518551,0.5723746321298357,0.2281126552468844,269.0410212298767,67116.12971883087,1,0.004209914068786,269.0214650553704,67099.04794665912,170.96815587802698,1.0206665420831948,268.67774696158386,66783.07961088535,0.0042016993790743,8.215119268801363e-06,2.1033456434034425,0.001,0.0
19,43204818.47644664,1.4963237917800774e-09,1.7059623005726017,0.4340010537276361,0.0814868159311572,288.53232886647675,91713.30060516288,1,0.0120897248426205,288.5163320271834,91695.49642510893,620.0,1.022409698061287,288.07635566038607,91163.59704951564,0.0120757272817618,1.3998138146064475e-05,2.269871002270185,0.0,11788.379336409447
20,5661836584.538008,3.694228775338936e-08,1.7474295817558625,1.1166247474196915,2.1326080882157794,287.0122101919717,51787.84921288988,1,0.0196402031217677,286.99673660970234,51774.995631343845,5.626912917712722,1.0025305742707165,286.9284414660283,51706.92527628165,0.0196128522326173,2.736018708051321e-05,0.2927371481972196,0.711,505213411.1049546
21,120339440.7736393,4.0321203220230237e-07,1.656210377757483,1.1461781785838792,7.830819592656686,281.2783993714765,53204.34896289746,1,0.0129228741215143,281.2646128850584,53191.04619468629,12.25925318085781,1.0222132009214635,280.56374585436464,52527.12961523495,0.0127400147711219,0.0001830268875648,2.2587434481407653,1.0,2881995.950760477
24,14481794.27767654,1.3352910978336746e-08,1.7713228372680208,0.1211327120580523,0.0506522116829827,292.46543667917246,91773.74300370552,1,0.0155750932084724,292.4554762133036,91762.79875850856,370.0,1.006637465522748,292.31237658933395,91571.76259242532,0.0155637836247739,1.130987596670124e-05,0.6798450804532452,0.064,0.0
26,137738634.1228326,6.183103525594583e-07,1.6590704113895918,0.3493119260413749,0.5044350722373323,281.34026326816627,61974.36386092575,1,0.0111090819808917,281.2065196017832,61767.77512867044,253.7492078658979,1.0008203466037895,280.6291608930291,60917.110713963295,0.0107701443348292,0.0003395161672995,0.1169062342988302,1.0,91132.70408064188
