simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac_product,act_rate,act_frac_S,act_frac_V,mode_wet_radius_mean,mode_wet_radius_stdev,,
19,1.84E+09,2.22E-09,1.91720607,0.965731274,0.080758048,250.0421742,102401.303,1,0.000581694,250.0324133,102387.3058,235.2706701,1.010499285,249.8636267,102136.8378,0.000580076,1.62E-06,0.010531556,0.002430216,0,0.002430216,0.002430216,6.06E-09,37.16965533,,
20,5.66E+09,4.28E-09,1.818621559,0.906913211,0.085727018,292.2534133,98303.62534,1,0.014321604,292.243587,98292.05192,116.6493393,1.003562357,292.1722626,98190.41263,0.014316478,5.13E-06,0.003631017,0.001661835,0,0.001661835,0.001661835,1.43E-08,23.11479576,,
21,4.91E+08,5.01E-07,1.883305858,0.556806499,0.010435532,254.8234418,68218.18654,1,0.001323114,254.8159035,68209.55548,1916.529079,1.000004981,254.6619869,68033.44092,0.00130861,0.0510549,5.22E-06,0.004515704,0,0.004515704,0,7.58E-06,10.36813848,,
22,1.48E+07,5.52E-08,1.947157684,1.261645576,0.043993834,266.8724055,52824.117,1,0.004539371,266.8627112,52817.35273,159.1132077,1.002473961,266.8132042,52776.35365,0.004534065,5.87E-06,0.002502777,0.805526937,8651.157698,0.805526937,0.78643817,8.15E-07,14.71685689,,
23,8.02E+08,7.49E-09,1.770473803,1.082404236,3.200771766,257.6471122,77737.69492,1,0.001471694,257.6373472,77727.3782,10.31001346,1.016873068,257.3421454,77398.04084,0.001465526,6.17E-06,0.016915877,0.341109063,0,0.341109063,0.337985198,6.62E-08,25.45916915,,
24,2.55E+07,3.54E-07,1.526054266,1.299149619,0.010157901,271.6970715,72515.39906,1,0.004751907,271.6910654,72507.13007,6497.405164,1.000118051,271.2822008,71895.94726,0.004648286,0.000352646,0.000118488,0.844964474,0,0.844964474,0,8.16E-06,4.674778846,,
25,6.10E+09,4.31E-06,1.550715432,1.091408023,0.333096173,269.3348571,98892.34998,1,0.002914919,269.3291673,98881.13999,9.006407894,1.00000038,269.3166725,98856.52358,0.002911986,2880.244803,4.41E-07,0.023903586,0,0.023903586,0,0.000274659,5.059211221,,
26,2.42E+08,1.42E-08,1.735729642,0.785956954,0.024869618,293.3210598,82303.46863,1,0.018394463,293.311217,82293.7957,201.0485272,1.00180531,293.2802448,82256.5863,0.01839164,2.83E-06,0.001844509,0.028566915,19513.42321,0.028566915,0.028013993,8.84E-08,17.69880698,,
27,1.05E+09,2.25E-08,1.745688487,0.218699645,1.946919062,270.5431193,67352.2702,1,0.004697375,270.5333418,67343.74506,9.245376633,1.007891645,270.3843885,67198.55633,0.004689551,7.84E-06,0.007917489,0.41224303,11021.32908,0.41224303,0.408920178,1.14E-07,16.24425666,,
28,3.88E+07,2.90E-09,1.866591101,0.892963077,0.285542098,280.3690956,60108.95079,1,0.010712631,280.3592866,60101.58706,175.1055288,1.020670987,279.9338796,59733.4125,0.010678437,3.42E-05,0.020712831,0.048975787,0,0.048975787,0.049847369,2.45E-08,95.85201684,,
29,3.64E+09,1.24E-06,1.728280408,1.142541352,1.064341772,304.2044682,76791.42626,1,0.038779981,304.201594,76784.12684,20.67005221,1.000009454,304.1243893,76581.1863,0.038705711,34.83395948,9.64E-06,0.557648199,0,0.557648199,0,4.62E-05,7.544589815,,
30,8.31E+09,2.92E-09,1.594766232,0.502381125,0.05823382,266.9281347,100424.5601,1,0.00238973,266.9183652,100411.6902,377.787344,1.011090506,266.7274129,100143.7968,0.002386004,3.73E-06,0.011119945,0.000154685,0,0.000154685,0.000154685,5.20E-09,15.34647486,,
