simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate,ARG_act_frac
0,5.330023248212663e7,9.103194312303052e-6,1.7078722422521704,0.9009629720096164,3.057453219158968,249.36370424217893,82653.4451515571,0.4952845283695026,99.29999999999863,1.0002238866334563,246.7608068733389,79270.59479975495,0.0005597936216237,1265.886334856955,0.0343070171316739,1.0,0.0,0.999958978886388
1,1.0534765067071578e7,2.8707599041254845e-8,1.6208026148484946,0.9210819187255288,1.4200414945213986,272.8742080723411,83668.80336923724,0.2237172170720015,55.200000000000514,1.0267824201839064,272.2339090376063,82845.45422142584,0.0044402613451354,4.7025768123394166e-5,2.683176216512484,0.998,0.0,0.9960539033287872
2,2.4745517400396043e8,6.06094167863758e-8,1.6120734623631776,0.2511680288036384,0.0134165448467796,304.20891143103336,82367.9181969202,0.5464956370464901,100.0999999999986,1.0005602955187665,304.1962053720952,82355.20302659704,0.0360118017575179,4.438386110357609e-7,0.056013916994857,0.061,0.0,0.03259803739441902
3,1.3779179878675845e9,8.051003318011051e-7,1.6578620960666255,0.6817897954781461,0.0460944564184233,266.63830643271723,73061.85561531316,0.7943171863408022,78.59999999999981,1.000004048210986,266.6135721474734,73027.13341191495,0.003212203532528,0.3936971851003116,0.0005669420339859,0.023,0.0,0.016511044910541284
4,2.230300587862906e9,5.072900974665935e-7,1.6912156217456062,1.0763192610717502,2.6642368718297096,270.7388464727643,64519.88855012278,0.7542822560452228,100.0999999999986,1.00008227901377,268.97493968287154,62257.5849400756,0.0045185390068019,0.2260462756004022,0.0177413136838389,0.969,0.0,0.9176163197758864
5,5.11026989379386e7,1.072033364723604e-6,1.6604881564670413,0.3037315733398645,3.9922272766420432,306.76184918986974,91681.09512800263,0.1031241285031398,15.59999999999996,1.0044296320419173,306.4854164246368,91012.10575775798,0.0372926898783708,0.0185953367956464,0.4542648423071282,1.0,0.0,0.9999999897436537
6,2.1727204622339404e8,2.486158175765522e-9,1.7110678259397605,0.1427608245310899,0.0273630422542298,250.4753718986733,55263.37227327033,0.5023548927887255,100.0999999999986,1.00198585721347,250.44863018586832,55242.7144934038,0.0011208710821068,4.719234664252054e-14,0.1984864165231581,0.0,0.0,2.955143496019552e-7
7,1.0740700823891385e9,4.12437588023536e-7,1.7423030376702064,0.6078725080227037,0.1689077579680113,296.5706534796056,99520.17147047,0.653471110230504,100.0999999999986,1.0000245371926486,296.506737428328,99324.56481308668,0.0185178381881117,0.0200920491109623,0.0029409117666023,0.177,0.0,0.372390155947429
8,2.7475222203262603e8,9.287533765165808e-7,1.6792906800595708,0.4448307614326429,2.1548168047225293,273.71498080910135,94764.49546668548,0.9876707539329952,100.0999999999986,1.0005775326207371,272.4428360866039,92255.06883974966,0.0039423461882141,0.0735565540556277,0.0649023268725956,1.0,0.0,0.9997907985180585
9,4.397167368550062e9,2.413514085975079e-6,1.7986208498565186,0.9002826155366194,0.8046124151404743,281.82863026451145,65404.63534593894,0.424312888533754,100.0999999999986,1.0000276105593326,281.3956962859476,64710.28155017414,0.0106724796414028,778.6143439049046,0.0055123694953085,0.999,0.0,0.08647143192937962
10,6.606473717919164e8,4.324163251914964e-6,1.7943686311698142,1.1904291274025611,3.666309003091796,305.5678349094202,56094.65100829223,0.6182639686295216,100.0999999999986,1.000133669861688,303.9641504855416,53028.27577821766,0.0569242021498752,3507.9539153041,0.0267248915240436,1.0,0.0,0.9221407922940661
11,4.147550847721998e7,4.503282726330166e-7,1.649999916441662,1.0078510985818565,0.5261208524549216,269.41564148614947,76606.95438843513,0.8480023326504834,35.30000000000023,1.0021515659952362,269.2837783418362,76423.58965376478,0.0037707227636014,0.0014799431840464,0.2169776694905367,1.0,0.0,0.9999808202030409
12,1.157713198600687e7,5.489654901100332e-7,1.7762399324706637,0.964175152098626,0.3234371489098941,260.4304736968684,90530.16861752344,0.8127812555493551,81.69999999999963,1.0035932160692207,260.2227254250715,90218.15955444686,0.001571983849499,0.0015153833897461,0.3604742849997011,1.0,0.0,0.9999895296685279
13,9.621716991510832e7,2.587064440918705e-6,1.629005394279642,0.5900609268786069,0.0100540012765467,297.47168177142487,51387.66700818846,0.980880106169504,75.3,1.0000020692556082,297.4680614190023,51381.72767482275,0.0391448905101262,6.850396908707689,0.0002467098133118,0.245,0.0,0.018844641111474103
14,6.3149822268842176e7,8.304084745694954e-6,1.790438090257526,1.1152681758307188,0.0406382104396351,293.95247669095284,91179.4144195318,0.7579909788272555,85.19999999999943,1.0000015773518316,293.9386203553992,91141.71849121024,0.0172237552962998,3055.5661851666123,0.0002789839357975,0.972,0.0,0.4440632101813175
15,6.83380656408101e7,4.22704114601683e-6,1.6194609020113904,0.6243942653184857,0.2314386248688761,267.963753745598,89511.72730953956,0.2256031619961803,96.3999999999988,1.0000358304904844,267.8182324248411,89257.98469820914,0.0028799767678552,19.79588821690801,0.0043861442998727,1.0,0.0,0.9507727888449802
16,1.4165756325426884e9,8.396505030081428e-8,1.7560684192770697,0.3261614320341183,4.760073755506816,287.1803128072038,94461.71590567676,0.5493713100570208,3.800000000000002,1.0049111453441255,287.0493042464104,94258.37827873066,0.0107187802160077,2.424352415561569e-5,0.5061944082036085,0.973,7.464031193558556e7,0.9497403243373661
17,1.322774158706251e8,4.6693092841890726e-8,1.6308178305887044,0.3051219341551948,0.9344200765758106,285.0430490113285,52574.86479813464,0.4872890673215563,18.39999999999999,1.0061885848494774,284.8982747157472,52459.278465046285,0.0169142159803095,2.0671589731303324e-5,0.6223075506278652,0.893,0.0,0.8175875846570564
18,6.706475836660327e8,6.0427270001896855e-9,1.613733550080149,0.0960400636372655,0.6177429539383994,257.26184410865665,52198.8520295956,0.85233136912384,75.2,1.024975989826094,256.82520490854426,51873.78421451048,0.0021134025836799,1.158784526050529e-5,2.5000135640923737,0.018,0.0,0.00044778272236006833
19,1.5745633565902948e9,7.503950388656231e-6,1.622570103952326,0.8291615331405374,0.2263257576725636,251.8668138672861,99698.09650948664,0.8199089986919702,95.49999999999883,1.0000076620462783,251.68972932221385,99409.2429874602,0.0006926582095795,7218.477484697914,0.0059571219459986,1.0,0.0,0.04159023024164055
20,1.022650956601515e7,7.259176818798217e-6,1.7246555195337514,0.4475403671802296,1.0075780807368218,294.49577919538683,75741.02810882531,0.6054019149487384,99.09999999999864,1.0003801753589996,294.0732069222349,74790.41965858877,0.0213069976008659,56.680166021244034,0.0411933749594473,1.0,0.0,0.999995913881057
21,1.1599271114080297e7,6.371467743057375e-9,1.7060912784889677,0.8603929457346494,4.043075610301558,293.7121878948295,58448.1883565542,0.923517439387254,41.70000000000032,1.0532659447582136,292.377736198544,57212.381641011016,0.0266250857455117,0.0002616360205485,5.341562081453555,0.784,0.0,0.7172961579211513
22,1.7658011779640052e9,1.239934439999779e-6,1.7217430725402534,1.1823785902286212,1.938525669019391,294.5163900305826,80725.77690630258,0.16254021609365,99.9999999999986,1.0000636520791006,293.7156227577438,78806.0748184277,0.019726433975583,13.631884218871225,0.012377840205513,0.999,0.0,0.6629275248196709
23,3.211212363056541e8,1.9866496450089644e-8,1.6948786128063158,0.853390214321897,1.5479949632469108,301.2522244665572,88740.78241296142,0.3656716836152179,11.399999999999975,1.0059123268075207,301.1081463966301,88559.23099223354,0.0278369562450217,1.2791405582942392e-5,0.5958110544239226,0.591,3.180198427159882e6,0.5335364033337354
24,1.790209285767752e7,2.3385527815596453e-6,1.6027720404274235,0.3385519189353035,0.029585561830849,303.032196247983,63667.79069710522,0.4731030400717598,19.900000000000013,1.0000369021328686,303.0293440155489,63662.74860608954,0.044093841153184,0.2571629843266597,0.0037902975950743,0.995,0.0,0.9456514392631681
25,2.6670615230366426e9,6.040211224726595e-9,1.7552082742693171,1.185718623540098,0.7032634954804486,260.5139606698217,64527.87432230996,0.5492358171888022,22.200000000000045,1.0083465367927635,260.36803864940816,64395.02692522669,0.0022414016297263,3.22493864396612e-6,0.8372560662027961,0.059,3.0944725615941454e7,0.02284789417212596
26,4.482112569613097e7,2.4990870588124e-7,1.6620919737900337,0.751760112678929,0.0238004247229919,276.13882566735725,78729.45984761033,0.6255272384353043,100.0999999999986,1.0002656749435572,276.12335425804895,78705.72795702278,0.0060419993287099,8.295494522439064e-5,0.0266444680958821,0.814,0.0,0.8134974057281593
27,7.712213053092784e7,1.1519719268209185e-6,1.6962607338924884,1.072258321381547,0.0319772777105506,299.40173338502694,56735.95283782573,0.1518713285385965,83.49999999999953,1.0000161448166118,299.3897435582264,56714.02470023422,0.0397929113694857,0.4774696039032515,0.0017319750569733,0.751,0.0,0.4498774835052867
28,9.095858663670158e8,1.177058525694347e-7,1.641748813599888,0.8008730389178575,0.0830161507739019,271.67290939670124,75179.46418579808,0.2764578821707659,100.0999999999986,1.000272986943677,271.61949391752324,75098.82870227417,0.0045621776718376,6.56368970990256e-5,0.0275784492000719,0.292,0.0,0.22456091383952403
29,4.644892004524755e9,2.0030040840362429e-7,1.651974645137305,0.3804924339503293,0.3201505111260473,296.3585142565087,82896.68886742575,0.3873163649188565,100.0999999999986,1.0000940783585766,296.2306037724132,82571.65982014642,0.0220283843167993,0.0012712295581051,0.0103749301078037,0.135,0.0,0.11404437280648677
30,8.651762614259942e8,1.041530752645068e-7,1.6861740685138364,1.1678960236517784,3.01755385027882,275.5349379870913,101781.91980668706,0.9363047469754288,5.699999999999996,1.003598879877419,275.4132083517254,101567.56413456328,0.0044548867709943,6.461369589134429e-5,0.369673550597005,0.998,4.718084768033457e7,0.992825248444971
31,5.086965433820196e8,3.0517727928384505e-6,1.6818233847867088,0.7242501944769363,1.1320031492872211,300.95213305890667,94778.51871133158,0.3539591291527983,99.29999999999863,1.0000365642582536,300.5478084746135,93534.21479822572,0.0252591444430907,77.5735653455738,0.0069063363943744,1.0,0.0,0.8830364714895109
32,2.953646113923195e7,2.3045256692046084e-9,1.7288933886261095,0.93635413126551,0.1727880783479562,256.4643798930845,62937.47304639483,0.8705282670567145,100.0999999999986,1.0119098206035648,256.29547600931664,62792.44379338141,0.0016477316188811,1.9648819899053188e-9,1.190385401212013,0.001,0.0,0.0027102232485762268
34,3.287368143994489e7,2.0089893694821996e-7,1.79770971767442,0.1000623347632561,0.0330115775676953,283.8520071533817,52054.04456489339,0.8623525805997807,100.0999999999986,1.001086740924199,283.8249309207144,52031.69088158428,0.0157724432362328,8.470954208015095e-6,0.1087673444090331,0.816,0.0,0.692597296308513
35,6.782362006830018e8,1.575009898163761e-8,1.6935881259052803,0.8519364594501444,0.955023424696076,250.3172033929504,78103.18868060835,0.8675445612742794,16.599999999999966,1.0087497816607085,250.1676752716131,77934.22938603887,0.0007798552649247,1.8281318697803696e-6,0.8787128515045595,0.472,0.0,0.4029963492928555
36,3.90032518282272e9,6.730253265562203e-8,1.7754318230467412,0.3323302325692998,5.289213317593729,298.8865525729426,96137.6478280485,0.82281633373521,2.700000000000001,1.003329171221326,298.7906813943636,95979.3910445808,0.0221639947483785,2.70519024986292e-5,0.348767074937073,0.876,3.878719884537233e8,0.8139870935772621
37,3.435869794266426e9,7.131247812685402e-7,1.721694712013048,0.8380838742670287,0.4718758278286825,271.8330006469518,102790.46697177464,0.2160178331938738,98.49999999999868,1.0000190311779378,271.55516721395685,102202.28803782877,0.0033290569398128,0.8356097934197149,0.0034587004035024,0.616,0.0,0.18370437361008507
38,4.301130323573658e7,1.2123421272525801e-9,1.662240554312183,1.144291747340645,4.492188700884818,263.9998156888111,86097.02665899845,0.3839908487500678,63.90000000000064,1.1433617279390889,261.4117650216876,82937.0936761165,0.0021461559606637,7.45285689926374e-5,14.354635077573729,0.12,0.0,0.04008699685601946
39,4.524923170220243e9,3.19517734009939e-9,1.6663054636005403,0.2951698727137745,0.1824022998774914,299.1477325041162,79097.18920520063,0.2626801918274432,100.0999999999986,1.0085987801543,298.9671527912363,78930.11999014356,0.0276090948326867,1.0555379263399488e-11,0.8594463275727326,0.0,0.0,2.0371534210639197e-6
40,1.941266161244444e9,3.061271764175517e-8,1.6916518107780356,1.169823705269582,0.2285039441606172,295.0438380075932,68341.20055845988,0.7289378643471399,20.700000000000024,1.0014504654925676,295.00690151261216,68301.71081551659,0.024866801448772,6.682071807631713e-6,0.1457930613161462,0.284,2.440784246284949e7,0.13538003897147338
41,4.827013448618089e9,3.363474372805709e-9,1.6648543624739645,1.0380343548480844,0.8849576618441588,276.74785818219624,60322.29879520559,0.7594210504144387,30.30000000000016,1.012193784405465,276.5062916296516,60118.44763212974,0.0082533962564362,1.3050747492956943e-5,1.2225741279505264,0.01,0.0,0.00046780795359807614
42,1.0038232391419424e9,1.2614383628328594e-7,1.675511375694615,0.633309795699725,0.1353283784362304,288.2652701457365,67348.84487649197,0.401346354944142,100.0999999999986,1.0003239296809612,288.1975864389452,67229.63528192962,0.0162529018678083,0.0001277428657829,0.0328392346158334,0.419,0.0,0.2620002327214981
43,1.5037484990009294e9,2.133950265370599e-6,1.7306286447944483,0.5067253119415452,0.2490516904437992,255.3388555712555,79867.93954766254,0.184764304104394,99.8999999999986,1.0000100156933711,255.1406440371449,79601.71579381223,0.0011645216143508,27.60836704522667,0.0019214185433824,0.876,0.0,0.07115539228242884
44,3.33297684678954e7,5.827503164619304e-9,1.78028148971531,0.8655896670800631,0.0176888259322219,250.2388794568643,88258.88418697755,0.7782935330724601,100.0999999999986,1.0012859027626175,250.2215959324436,88237.54005052635,0.0006868598618392,5.597567747728645e-12,0.1285259989195708,0.0,0.0,0.004265499151105578
45,4.293867640609612e7,1.6749829931068344e-9,1.6787987660777792,0.586667160675511,0.4319160767646682,252.05668623344087,71512.03318877451,0.6377010652996525,100.0999999999986,1.0313629545282403,251.63464009988263,71093.57592666824,0.0009945960290539,1.4923769188003497e-8,3.134717254759334,0.001,0.0,0.0011086803161735048
46,8.364818303189601e8,1.310858974441189e-6,1.7773187807117043,0.6393281241747405,6.416926746809177,287.4252607357532,91294.26182966598,0.4867637049953036,100.0999999999986,1.0003267877870103,284.447084677874,84412.11667814327,0.0100337291424623,3.7772438657015432,0.0530933097596886,1.0,0.0,0.9865584417370963
47,2.2266463217185512e7,7.050188391671195e-9,1.631875510510001,0.7714776499580299,0.4168656055726512,287.1656320487863,58982.15508498218,0.5683815329695181,97.79999999999872,1.0153811315387464,286.81875517168567,58682.26975608696,0.0173164705584647,3.866755463344128e-5,1.539592325621375,0.229,0.0,0.10954447975066212
48,2.4209464912311268e8,1.5212075583382057e-6,1.670963116480624,0.1121828447918836,1.4071625633001188,252.309829911418,65232.471021680976,0.360182684374149,99.6999999999986,1.0006243615676096,251.13160826730672,63983.66347695499,0.0010260819589273,0.0850368615762247,0.0678538718738686,1.0,0.0,0.9995163898605135
49,2.7894715484420884e7,1.4971642870474526e-7,1.648461336893347,1.0919503415451437,0.0454467688084173,259.1706379065142,64040.1235070621,0.9234981049551968,100.0999999999986,1.0013530695083308,259.1313463559089,64001.111593503054,0.0020244339379236,1.092920652928837e-5,0.1354522868881824,0.985,324389.6216932441,0.9668928760704858
50,1.998404818893902e7,6.988455024453078e-6,1.7929551700455442,0.2591906199696473,0.0124934331772419,275.63112194243166,57828.32171776701,0.7194584694785253,75.39999999999999,1.0000041295633717,275.6253198178406,57820.8768969106,0.0079604877078179,67.54653650375981,0.0004587446235548,0.891,0.0,0.36592392340253127
52,3.0205753439164364e8,4.759361357198666e-6,1.730678298382501,0.0873872499886117,0.0908143349003227,271.29443390231285,83285.42212372937,0.4176099847142454,90.09999999999916,1.000006720487523,271.24382219834524,83198.74805396047,0.0040008499533584,16.40928105772039,0.0009832874590331,0.802,0.0,0.19898817312149247
53,1.2835771582842126e9,6.369479512048403e-6,1.7264258588362045,0.0688600137058332,1.4223548321811337,300.6048400161681,99054.84377173345,0.9384934769974188,100.0999999999986,1.0000405782026704,300.0956489363762,97429.71431242056,0.023553431234766,194.13162393807792,0.0081055717511935,1.0,0.0,0.6798064898731272
54,1.871536790962085e8,3.1656576339739344e-8,1.70848612623401,0.133908101850922,0.0766074890610656,294.265367074884,57355.07302363808,0.6706975664230507,83.69999999999952,1.0025282221929923,294.2085139504869,57310.08387568585,0.0284083395923737,5.3107058825396165e-6,0.2530892920792116,0.122,0.0,0.053002699432795786
55,1.3706622294346953e7,3.25721216406787e-6,1.7856022807501208,0.0198759877838515,6.611457924728496,273.0539438711364,104807.41998677568,0.1314425020161397,38.300000000000274,1.0257205229115365,271.396237257333,101578.5612021316,0.0033959318406819,0.0165475271077577,2.594447038089154,1.0,102714.305186263,0.9999999999815257
56,1.2421837068615012e8,1.383692202509808e-7,1.6898430141640692,1.0564612060140737,0.0242547519377182,254.7122102248403,94234.74113689076,0.4337239375130518,100.0999999999986,1.0002986141250232,254.69215412971693,94204.2709327611,0.0009472211974252,2.157486482966566e-5,0.0299457295795946,0.479,0.0,0.5432481164412113
