simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev,mode_2_act_frac_S,mode_2_act_frac_S_interp,mode_2_act_frac_V,mode_2_smallest_dry_radius_activated,mode_2_wet_radius_mean,mode_2_wet_radius_stdev
0,99999999.99999999,5e-08,2.0,0.54,9999999.999999998,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.663548946380615,293.99022258827944,99988.30546842668,24.0,1.0036238468820322,293.909884618004,99862.00641553727,0.0157115236235212,8.926689834057621e-06,0.0036371065619407172,0.7772369504223727,0.800806287894628,0.7744157435521904,3.082335138159619e-08,8.290281971900618e-07,7.0293836065988895,0.7772369497564985,0.8008062874732524,0.7744157423402146,3.082335138159619e-08,8.290281971900618e-07,7.0293836065988895
1,99999999.99999999,5e-08,2.0,0.54,11513953.993264481,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.490314960479736,293.99022334907056,99988.30569693419,24.0,1.003605229770191,293.91011447899825,99862.02192716923,0.015711450072687903,9.002648601482257e-06,0.0036203556722740338,0.7772369504223727,0.7994421653982979,0.7744157435521904,3.082335138159619e-08,8.273896664645376e-07,7.027899884187397,0.7772369525149256,0.7994421685194869,0.7744157465141027,3.082335138159619e-08,8.273896664645376e-07,7.027899884187397
2,99999999.99999999,5e-08,2.0,0.54,13257113.655901082,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,9.642635822296143,293.9902242248774,99988.30595998724,24.0,1.0035840861934933,293.9103754841168,99862.03938105878,0.015711366510913902,9.088982807395637e-06,0.0036014785995202026,0.7772369504223727,0.7979048945410455,0.7744157435521904,3.082335138159619e-08,8.255368864513682e-07,7.02583378458409,0.7772369499745586,0.7979048939588989,0.7744157425057638,3.082335138159619e-08,8.255368864513682e-07,7.02583378458409
3,99999999.99999999,5e-08,2.0,0.54,15264179.671752334,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.4870686531066895,293.99022523306013,99988.3062628001,22.0,1.0035761239750804,293.914302565545,99873.45403431935,0.015713288841098353,7.169737112712672e-06,0.003580491092627147,0.7772369504223727,0.7962011673327567,0.7709433932039752,3.082335138159619e-08,7.769855853939944e-07,6.760596279265981,0.777236951241509,0.7962011677912613,0.7709433936469712,3.082335138159619e-08,7.769855853939944e-07,6.760596279265981
4,99999999.99999999,5e-08,2.0,0.54,17575106.24854793,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.379080772399902,293.9902263935874,99988.30661137043,24.0,1.0035327431280046,293.9110089438119,99862.08068254884,0.015711163404478028,9.298956646555692e-06,0.003556173510218752,0.7772369504223727,0.7942154288467709,0.7744157435521904,3.082335138159619e-08,8.210230087502225e-07,7.019681537333912,0.777236949516919,0.7942154280995714,0.7744157421096853,3.082335138159619e-08,8.210230087502225e-07,7.019681537333912
5,99999999.99999999,5e-08,2.0,0.54,20235896.477251556,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.221505880355835,293.9902277294311,99988.30701259791,22.0,1.0035271222030824,293.91490946636685,99873.50025330896,0.015713096158737564,7.370323999080612e-06,0.003529729705676443,0.7772369504223727,0.7920671209415884,0.7709433932039752,3.082335138159619e-08,7.716944167025445e-07,6.75349578669555,0.7772369507971395,0.7920671216055812,0.7709433928386941,3.082335138159619e-08,7.716944167025445e-07,6.75349578669555
6,99999999.99999999,5e-08,2.0,0.54,23299518.105153717,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,9.87782096862793,293.990229267008,99988.30747441702,22.0,1.0034978489776762,293.9152716747027,99873.5267828983,0.015712980862193852,7.490491236610615e-06,0.0035011955142751905,0.7772369504223727,0.7897432938500318,0.7709433932039752,3.082335138159619e-08,7.681480418287147e-07,6.748430086319308,0.777236950582334,0.7897432940293251,0.7709433931527263,3.082335138159619e-08,7.681480418287147e-07,6.748430086319308
7,99999999.99999999,5e-08,2.0,0.54,26826957.95279727,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.699303388595581,293.9902310366945,99988.30800595146,22.0,1.0034649207153497,293.9156788484804,99873.55581406117,0.01571285102672979,7.62593466608956e-06,0.0034694450311476555,0.7772369504223727,0.787157527542049,0.7709433932039752,3.082335138159619e-08,7.634991857122857e-07,6.742740763427956,0.7772369506690178,0.7871575279477198,0.7709433928659433,3.082335138159619e-08,7.634991857122857e-07,6.742740763427956
8,99999999.99999999,5e-08,2.0,0.54,30888435.964774784,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.774322271347046,293.9902333427043,99988.30869857334,22.0,1.0034278356499582,293.91613716811355,99873.5877029319,0.01571270465759436,7.778760642357457e-06,0.0034339601262480812,0.7772369504223727,0.7842676210335758,0.7709433932039752,3.082335138159619e-08,7.564957104798393e-07,6.73895387968094,0.777236949660745,0.7842676202926593,0.7709433924163244,3.082335138159619e-08,7.564957104798393e-07,6.73895387968094
9,99999999.99999999,5e-08,2.0,0.54,35564803.06223129,5e-08,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.100042343139648,293.99023569561166,99988.30940528112,22.0,1.0033859850141305,293.91665467711505,99873.62450526164,0.015712539612122406,7.95124032653605e-06,0.003394462960746525,0.7772369504223727,0.7810509487242427,0.7709433932039752,3.082335138159619e-08,7.431066336289918e-07,6.759366505832404,0.7772369508921904,0.7810509492182286,0.7709433938810919,3.082335138159619e-08,7.431066336289918e-07,6.759366505832404
