simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev
14,999999999.9999999,1.389495494373136e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.878600835800171,282.9901998089496,84989.69242559135,22.0,1.0045054002137992,282.90583972755024,84888.05616176005,0.009025872371771096,4.62214410998738e-06,0.004529454803280597,0.1349822896934255,0.13866007381035675,0.1349822896934255,2.6422133841038726e-08,7.65530910358362e-08,8.826823695418847
15,999999999.9999999,1.6768329368110067e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.922908306121826,282.99020226632007,84989.6930705647,20.0,1.004003165105247,282.9153283318273,84898.40617128913,0.00902600799328739,4.4896758509245016e-06,0.004036632338847657,0.18198450575181344,0.18723940158419916,0.18198450575181344,2.8581981200948625e-08,1.0225323459678415e-07,8.192865580273669
16,999999999.9999999,2.0235896477251556e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.547261953353882,282.9902086001851,84989.69473298138,18.0,1.00359635262241,282.9238977448178,84908.66818496927,0.009026456356963893,4.0486512588617195e-06,0.0036188267075654146,0.2373658194546774,0.2466083901025309,0.2373658194546774,3.091838283335508e-08,1.3291914047479853e-07,7.376172525678075
17,999999999.9999999,2.4420530945486498e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,9.812142133712769,282.9902235051893,84989.69864501999,16.0,1.0032521259861622,282.93184428954737,84918.83073704147,0.009027102278585927,3.419851348792817e-06,0.0032578303717769597,0.3004048048425358,0.3160137664742297,0.3004048048425358,3.344577096699576e-08,1.674595333729656e-07,6.464408851082536
18,999999999.9999999,2.9470517025518096e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.559997320175171,282.9902536751417,84989.70656356898,16.0,1.0029019366952827,282.93516046078634,84919.01023044148,0.009025923684307813,4.6384809554605185e-06,0.002937256146948508,0.38781668373531897,0.39284426293466385,0.3697244350771237,3.52037233607106e-08,2.221692350912963e-07,6.031409711897366
19,999999999.9999999,3.556480306223129e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.63862419128418,282.9903076200427,84989.72072220227,16.0,1.0025703871214198,282.93824794078023,84919.06698072507,0.009024787035286442,5.868327052227657e-06,0.002635649680935881,0.4621738413375298,0.4717267557461863,0.4621738413375298,3.808141179484965e-08,2.872443630552201e-07,5.5135815962776045
20,999999999.9999999,4.291934260128778e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,15.73108720779419,282.99039700313017,84989.74418210656,14.0,1.002344088835213,282.94506696395143,84929.1404563278,0.009025823428841659,5.048875361805248e-06,0.0023525635754360064,0.5378261586624702,0.5493024838348767,0.5106245944705561,4.119433360584272e-08,3.4106268349420423e-07,4.709914823807012
21,999999999.9999999,5.1794746792312124e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.842921018600464,282.99053274228487,84989.7798088362,14.0,1.002062921365672,282.947656385075,84929.12366280331,0.009024847269475165,6.530687093296954e-06,0.002072410139008385,0.612183316264681,0.6192872073208101,0.5561300828274955,4.456171767925302e-08,4.2735642128460484e-07,4.278718729922289
22,999999999.9999999,6.250551925273976e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.081735372543335,282.9907262798679,84989.83060560025,14.0,1.0017860956561628,282.9501811167175,84929.05312739703,0.009023876198777668,8.679834787120502e-06,0.0017927966159085873,0.6656100786266009,0.6782161242246902,0.5516501740485275,4.9540845799561555e-08,5.283763167655341e-07,3.9001079440499447
23,999999999.9999999,7.543120063354607e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,15.523872137069702,282.9909859851851,84989.89876903499,14.0,1.00150948339174,282.95269355559174,84928.95925796752,0.009022901419673105,1.239940866433376e-05,0.0015122407423036055,0.7160084144990728,0.7233272176294894,0.47412920455052854,5.507631954857504e-08,6.489282984641765e-07,3.5985973197462116
24,999999999.9999999,9.102981779915227e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,15.104768514633179,282.9913154438105,84989.9852402122,16.0,1.001229304903501,282.95034589577625,84918.44454153268,0.009020032205883191,2.1663901854726392e-05,0.001235987891423429,0.7475495445398922,0.7537820525191271,0.36520527378406514,6.292793175724075e-08,8.192463247759148e-07,3.4279614384094277
25,999999999.9999999,1.0985411419875573e-07,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.972750663757324,282.99171266779814,84990.08949734978,16.0,1.0009737166051829,282.95265419828826,84918.32794381178,0.009019125754578248,3.747072778460419e-05,0.0009750598329736349,0.7626341805453226,0.7700227029013187,0.0,7.38922784558269e-08,1.0063757004074518e-06,3.272123197614897
26,999999999.9999999,1.3257113655901082e-07,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,15.830612659454346,282.9921689494337,84990.20925496516,22.0,1.0007439299513832,282.9399545574404,84886.77640022866,0.009012631022983874,7.868285604751902e-05,0.0007457043829632859,0.7626341805453226,0.7749394471345424,0.0,8.917265784056395e-08,1.2934283497583325e-06,3.2199640831329654
27,999999999.9999999,1.5998587196060574e-07,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,13.929723024368286,282.992667822597,84990.34019127626,36.0,1.0005609562201798,282.9070696893366,84813.26498447997,0.00899871353190205,0.0001734901271909871,0.0005615815250228362,0.7626341805453226,0.7742910984363295,0.0,1.0761290722824154e-07,1.6799881521064966e-06,3.195920835624575
