simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev,mode_2_act_frac_S,mode_2_act_frac_S_interp,mode_2_act_frac_V,mode_2_smallest_dry_radius_activated,mode_2_wet_radius_mean,mode_2_wet_radius_stdev
35,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,1.3894954943731375,294.0,100000.0,0.015720275224661653,PySDM,False,36.92884945869446,293.99042840164117,99988.36728551339,14.393713460023038,1.004264058635455,293.8708263580216,99768.69726249801,0.01569815234255979,0.00010342232205511168,0.004266770364574235,0.3519042285007644,0.36228170212985406,0.3519042285007644,2.67352398069151e-08,1.7136346210549624e-07,10.835744916119266,1.0,1.0,0.5378261585557242,4.11846628469529e-08,4.860913713455006e-06,1.8995910967430636
36,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,1.5998587196060574,294.0,100000.0,0.015720275224661653,PySDM,False,30.20354914665222,293.99039510841095,99988.3572857235,13.75121423560275,1.0047275648414657,293.8574026751195,99745.37365943249,0.015696047522472882,0.00010552725663577488,0.0047313638920130074,0.3878166840188844,0.4009166960008164,0.3878166840188844,2.506525136870971e-08,1.8868006186019378e-07,11.453587822601873,1.0,1.0,0.5378261585557242,4.11846628469529e-08,4.980661109250502e-06,1.868275170661721
37,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,1.8420699693267164,294.0,100000.0,0.015720275224661653,PySDM,False,29.149080514907837,293.99036595085585,99988.34852810422,13.028821054377264,1.0052386696277251,293.84340317888785,99722.03715200246,0.01569413283069403,0.00010744204844985178,0.005242831033281048,0.4246735725175335,0.44023731135759914,0.4246735725175335,2.349957698954699e-08,2.0685077849608768e-07,11.986322176118225,1.0,1.0,0.5378261585557242,4.11846628469529e-08,5.078009003178903e-06,1.8441465026720223
38,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,2.1209508879201904,294.0,100000.0,0.015720275224661653,PySDM,False,39.55878829956055,293.9903404397835,99988.34086572431,12.258652544989223,1.0058030975548813,293.82876072026187,99698.68949125805,0.015692431642920283,0.00010914332103582772,0.005808898031848697,0.4621738414442758,0.4800928101512558,0.4621738414442758,2.203170080221201e-08,2.2626586485433994e-07,12.439539429346787,1.0,1.0,0.5753264274824665,4.11846628469529e-08,5.155902175840263e-06,1.8255754559499733
39,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,2.44205309454865,294.0,100000.0,0.015720275224661653,PySDM,False,44.344552755355835,293.9903181377837,99988.33416720548,11.465762174665196,1.0064261582446434,293.8134126266123,99675.33005022455,0.0156909651481741,0.00011060988420999351,0.006430885020406896,0.5,0.5198332183025425,0.5,2.0655513946234038e-08,2.4716768768418566e-07,12.815444462355691,1.0,1.0,0.5753264274824665,4.11846628469529e-08,5.2164800207151185e-06,1.8114890876694265
40,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,2.8117686979742307,294.0,100000.0,0.015720275224661653,PySDM,False,39.034698247909546,293.9902986557725,99988.3283156844,11.025088949291696,1.0071118827665204,293.7934098223806,99640.36079074792,0.015687757065550593,0.00011381813795256331,0.007117751348932888,0.5378261585557242,0.5592918999570083,0.5378261585557242,1.9365289144641643e-08,2.7432681958337483e-07,13.318767746761955,1.0,1.0,0.5753264274824665,4.11846628469529e-08,5.344124437654172e-06,1.7845176811981052
41,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,3.2374575428176433,294.0,100000.0,0.015720275224661653,PySDM,False,47.892027378082275,293.9902816479855,99988.32320730909,10.50206822802344,1.0078700954301942,293.7725364116633,99605.3795221674,0.015684837535157935,0.00011673781894006297,0.007876404161536454,0.5753264274824665,0.5981256906315546,0.5753264274824665,1.815565686875343e-08,3.0370143283381305e-07,13.713482889073312,1.0,1.0,0.5753264274824665,4.11846628469529e-08,5.448069427401883e-06,1.7636044352115576
42,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,3.727593720314938,294.0,100000.0,0.015720275224661653,PySDM,False,67.54126191139221,293.9902668089229,99988.31875032111,9.925974442534985,1.0087099066055951,293.7506861870229,99570.38758503017,0.01568224320275975,0.00011933228011283763,0.008715355936844471,0.6121833159811155,0.6360376533217932,0.6121833159811155,1.7021582991809894e-08,3.356516890253949e-07,14.00167067316939,1.0,1.0,0.6121833159811155,4.11846628469529e-08,5.5313358771354926e-06,1.7474556269619996
43,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,4.291934260128778,294.0,100000.0,0.015720275224661653,PySDM,False,70.76799774169922,293.9902538681908,99988.3148635063,9.552802423113025,1.0096366247443957,293.72389110245,99523.78488637903,0.015677999009659032,0.0001235766955664954,0.009643979827807847,0.6480957714992356,0.6727316177615957,0.6480957714992356,1.595834783844783e-08,3.7538570602148384e-07,14.340416278773047,1.0,1.0,0.6121833159811155,4.11846628469529e-08,5.662844237548311e-06,1.7235745508491453
44,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,4.941713361323833,294.0,100000.0,0.015720275224661653,PySDM,False,40.113035917282104,293.9902425908541,99988.31147630072,9.106153414763208,1.010666050279691,293.6958711532341,99477.17382048829,0.015674162143505723,0.00012741375704142816,0.01067355742472742,0.6827865201983709,0.7079755509969975,0.6827865201983709,1.4961526542826808e-08,4.1880333812059965e-07,14.546390397507553,1.0,1.0,0.6121833159811155,4.11846628469529e-08,5.76972495600255e-06,1.7050652085235285
45,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,5.689866029018293,294.0,100000.0,0.015720275224661653,PySDM,False,253.00004887580872,293.9902327608498,99988.3085238088,8.611802061788483,1.0118099159776681,293.6664914974539,99430.55560460394,0.01567077913905368,0.00013079692785691196,0.011815643454200275,0.7160084144066151,0.7415168961043161,0.7160084144066151,1.4026970633664472e-08,4.6645912899997075e-07,14.624414822036009,1.0,1.0,0.6480957714992356,4.11846628469529e-08,5.855251863918385e-06,1.6907599385892755
46,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,6.551285568595509,294.0,100000.0,0.015720275224661653,PySDM,False,22.162757396697998,293.9902241988406,99988.30595216565,8.242657022746256,1.0130774894729722,293.6317351783851,99372.33354031094,0.01566588658960188,0.00013568972700332265,0.013083587578590627,0.7475495444526249,0.7731461610771604,0.7475495444526249,1.3150790769543437e-08,5.243516772666477e-07,14.692112415030827,1.0,1.0,0.6480957714992356,4.11846628469529e-08,5.975909431487426e-06,1.6716071559912669
47,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,7.543120063354615,294.0,100000.0,0.015720275224661653,PySDM,False,23.09910273551941,293.9902167433718,99988.30371287752,7.821697056981638,1.0144880092395077,293.59529036294003,99314.10933137429,0.015661557820282758,0.00014001871070619802,0.014492962831299305,0.7772369504223727,0.8027180778052416,0.7772369504223727,1.2329340552638484e-08,5.882404532721458e-07,14.61502794844568,1.0,1.0,0.6480957714992356,4.11846628469529e-08,6.073039802413921e-06,1.6567832115255556
48,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,8.68511373751352,294.0,100000.0,0.015720275224661653,PySDM,False,21.2274808883667,293.99021025317376,99988.3017635134,7.484070095621905,1.0160563534668168,293.55307390132174,99244.29174062505,0.0156558485625449,0.0001457282575943556,0.016061246771323923,0.8049388401734157,0.8301099761558128,0.8049388401734157,1.1559201353502585e-08,6.650370470030802e-07,14.486846699419353,1.0,1.0,0.6480957714992356,4.11846628469529e-08,6.196666590802817e-06,1.6388096031189094
49,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,10.0,294.0,100000.0,0.015720275224661653,PySDM,False,21.864074230194092,293.9902046044732,99988.3000668973,7.19999999999999,1.0177988486753504,293.5049007361519,99162.89716484987,0.015648818748654078,0.0001527584335151788,0.017805062567649133,0.8540675904729313,0.8550030708283191,0.8540675904729313,1.0160235857471184e-08,8.100135297941149e-07,13.81849455581174,1.0,1.0,0.6827865201983709,4.11846628469529e-08,6.3400186182483855e-06,1.6190403808951601
