simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev
24,294705170.25518095,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.383790254592896,282.99029124146955,84989.71642340238,18.0,1.003062994705969,282.9287534262806,84908.52967973953,0.00902458746918224,6.1274703156886964e-06,0.003077560559348491,0.7475495444941335,0.7587279572557839,0.7430803926825865,3.456446100775715e-08,6.089341313308473e-07,5.024701258303634
25,339322177.189533,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.30293607711792,282.9903050017443,84989.72003498889,18.0,1.0029207565150295,282.9300897662347,84908.58013672009,0.009024104690352655,6.643996932213115e-06,0.002951290091009806,0.7320008313202944,0.7431917963913499,0.7257072739622596,3.552277147559478e-08,5.900474442313069e-07,5.015166088951516
26,390693993.7054621,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.091704368591309,282.99032077813376,84989.72417573436,16.0,1.002826148891284,282.93574814707114,84918.77175078007,0.009025618508598102,5.168921839048784e-06,0.0028296650627175346,0.7160084145297615,0.7271128683620987,0.7030343675323504,3.650765140020937e-08,5.283208900644077e-07,4.757906355168561
27,449843266.8969453,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.09788727760315,282.9903388545212,84989.72892014797,16.0,1.0027059596770005,282.9368827664267,84918.825173173,0.009025212407326523,5.619749244388593e-06,0.002715519512380915,0.6995951950654329,0.710932480798736,0.6866211480171434,3.7519837428081556e-08,5.140907751624208e-07,4.741283111152743
28,517947467.9231202,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.554263591766357,282.99035955108104,84989.73435226429,16.0,1.0025849113977896,282.93802100363064,84918.86914785275,0.00902480158283958,6.082068384105969e-06,0.0026041630163928797,0.6827865203199496,0.694048512536013,0.6698124733261144,3.856008662944547e-08,4.996654787968977e-07,4.720294989231601
29,596362331.6594636,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.072816133499146,282.9903832277295,84989.74056654851,16.0,1.0024647607027157,282.9391462278233,84918.90279692327,0.009024391953913984,6.5509847774489755e-06,0.002495779811707788,0.665610078625161,0.6764938909094786,0.6499541688408454,3.962917706454383e-08,4.851986572999095e-07,4.694479823426117
30,686648845.0042999,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.169035196304321,282.99041075854655,84989.74779241577,16.0,1.0023463154090348,282.94025017075063,84918.92440464938,0.009023986007550383,7.0251909836183045e-06,0.002389554787108894,0.6480957716485812,0.658136015368563,0.6324398618479138,4.0727908365582116e-08,4.7076889944093793e-07,4.663924240453339
31,790604321.0907701,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.20676565170288,282.99044170440715,84989.75591461109,14.0,1.002283774248598,282.9455996567723,84929.08842979101,0.009025605310171249,5.484366626491364e-06,0.002288190224538633,0.6302755649248112,0.6394919498608588,0.5868808234780616,4.1857102334818514e-08,4.2765288097889783e-07,4.407862734074013
32,910298177.9915227,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.116754293441772,282.9904769837097,84989.76517418154,14.0,1.002182079105394,282.9465530111083,84929.11818991968,0.0090252587205164,5.921437798451911e-06,0.002190093371805313,0.6121833162001544,0.6203105359086265,0.5647439596281897,4.301760355923518e-08,4.171489072736876e-07,4.37819086511873
33,1048113134.1546831,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.183514595031738,282.990517144343,84989.77571492844,14.0,1.0020819606943823,282.94748684263726,84929.13720648135,0.009024915616902178,6.368718551367233e-06,0.002092878355241634,0.5938545857631128,0.600140433482005,0.5462158015044566,4.421028004225201e-08,4.0667718532709897e-07,4.345212144867439
