simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev
0,999999999.9999999,5e-08,1.8,0.54,0.01,283.0,85000.0,0.009030491912781378,PySDM,False,31.29456615447998,282.9922935298423,84990.2419529875,300.0,1.0004625773868139,282.9819065308352,84970.56425288263,0.009026784615589256,4.463262577405738e-06,0.0004732691703706049,0.06592229526259165,0.06668394969038417,0.04779011290089203,1.1833062913281562e-07,2.9762352816781986e-07,4.063830666994037
1,999999999.9999999,5e-08,1.8,0.54,0.011513953993264475,283.0,85000.0,0.009030491912781378,PySDM,False,29.570724487304688,282.9922237838217,84990.22364715004,260.55341212540577,1.0004827026078935,282.981715654532,84970.55448472987,0.009026852632776904,4.395241435315883e-06,0.0004922368533943899,0.07284290940489038,0.07334992054439983,0.0534123252981722,1.1513838157291764e-07,2.988494919776602e-07,4.0682927197662
2,999999999.9999999,5e-08,1.8,0.54,0.013257113655901088,283.0,85000.0,0.009030491912781378,PySDM,False,29.80632519721985,282.9921516454987,84990.20471341742,226.29360190063858,1.000504199413322,282.9815113813734,84970.54321557806,0.00902692513337117,4.322736650841683e-06,0.0005125709051960747,0.08022779579589569,0.08066524583153617,0.05945078746637279,1.1203225241328786e-07,3.000638890782286e-07,4.071383032877713
3,999999999.9999999,5e-08,1.8,0.54,0.015264179671752334,283.0,85000.0,0.009030491912781378,PySDM,False,23.3812255859375,282.9920773528867,84990.18521425957,196.53856705786527,1.0005271714581172,282.9812926010704,84970.53012236101,0.009027002418178375,4.245447406355908e-06,0.0005343762306224686,0.08809106292563793,0.08868347734332435,0.06592229526259165,1.0900991840714666e-07,3.0126228317873693e-07,4.07300642848712
4,999999999.9999999,5e-08,1.8,0.54,0.017575106248547922,283.0,85000.0,0.009030491912781378,PySDM,False,21.655396938323975,282.9920011858872,84990.16522314043,170.69598087054888,1.0005520217166908,282.98105503095013,84970.51402523323,0.009027085671091582,4.162189755638749e-06,0.0005576718290123406,0.09644559763296966,0.09742343645254116,0.07284290940489038,1.0606911898277019e-07,3.024290676931026e-07,4.072929561398948
5,999999999.9999999,5e-08,1.8,0.54,0.020235896477251575,283.0,85000.0,0.009030491912781378,PySDM,False,20.72514247894287,282.9919234706965,84990.14482567502,148.25140083971502,1.000578304607958,282.9808033393555,84970.4960813173,0.0090271735556739,4.074300205041582e-06,0.000582742240476497,0.10530290125320046,0.10700171532239736,0.0788919223570919,1.0320765455268378e-07,3.035730327052427e-07,4.0712646947951585
6,999999999.9999999,5e-08,1.8,0.54,0.023299518105153717,283.0,85000.0,0.009030491912781378,PySDM,False,21.385496377944946,282.99184455624714,84990.12411344549,128.75802780386337,1.0006063659527462,282.9805337771253,84970.47511979558,0.009027267059196278,3.980791443231423e-06,0.0006096382657425625,0.11467292786578442,0.11744338685656582,0.0757586439922812,1.0042338486846867e-07,3.0467693727634064e-07,4.06778316991429
7,999999999.9999999,5e-08,1.8,0.54,0.02682695795279726,283.0,85000.0,0.009030491912781378,PySDM,False,20.30034112930298,282.991765136231,84990.10326852143,111.82781160944819,1.0006363086824988,282.98024553760405,84970.45144912088,0.009027366593686062,3.881251413879019e-06,0.0006385139006022111,0.1245639265490039,0.12880815786124888,0.08179750550837918,9.771422741995004e-08,3.057283296500262e-07,4.062330605596254
8,999999999.9999999,5e-08,1.8,0.54,0.030888435964774818,283.0,85000.0,0.009030491912781378,PySDM,False,22.006985664367676,282.99168510983014,84990.0822644414,129.49830171270574,1.000644904303971,282.9753785967617,84960.2500936725,0.00902555508792573,5.692857557642481e-06,0.000670060605369116,0.1349822896934255,0.14135879455411846,0.11467292786578442,9.507815587757246e-08,3.177645209210101e-07,4.268010811316429
9,999999999.9999999,5e-08,1.8,0.54,0.03556480306223128,283.0,85000.0,0.009030491912781378,PySDM,False,21.13424515724182,282.9916051217574,84990.06127041957,112.47074791896925,1.000680906726249,282.9750449677307,84960.2491011844,0.009025679710523498,5.568227662351076e-06,0.000704869133292263,0.1459324093534873,0.15533562539519405,0.1349822896934255,9.251319857679503e-08,3.1966326072110875e-07,4.267373209996871
10,999999999.9999999,5e-08,1.8,0.54,0.040949150623804255,283.0,85000.0,0.009030491912781378,PySDM,False,22.206727266311646,282.99152558195226,84990.04039405058,97.68212378194603,1.0007198022792474,282.97468319984597,84960.24517158535,0.009025813827569657,5.434102775884528e-06,0.00074214148978613,0.1694346957896765,0.17039362694394772,0.14459653591468352,8.758900455843059e-08,3.2154246786642366e-07,4.264287559299932
11,999999999.9999999,5e-08,1.8,0.54,0.04714866363457394,283.0,85000.0,0.009030491912781378,PySDM,False,21.234742164611816,282.9914469283887,84990.01975028706,84.83803551680762,1.0007618361105854,282.9742905896073,84960.2373715506,0.009025958119291392,5.289802648894626e-06,0.0007820297969360901,0.18198450575181344,0.18655298965950662,0.1529473919336561,8.522608476222357e-08,3.2338371452901093e-07,4.258513641265905
12,999999999.9999999,5e-08,1.8,0.54,0.054286754393238594,283.0,85000.0,0.009030491912781378,PySDM,False,22.839456796646118,282.9913695382678,84989.99943813091,73.68279877306865,1.0008075769429046,282.9738608888854,84960.22359297487,0.009026114175195273,5.13373771540498e-06,0.0008244251492552923,0.19506115974837132,0.20371127839382625,0.16314113837241773,8.292691029559836e-08,3.2514678288788e-07,4.249657673836407
13,999999999.9999999,5e-08,1.8,0.54,0.06250551925273973,283.0,85000.0,0.009030491912781378,PySDM,False,23.53940176963806,282.9912937756263,84989.9795531289,63.99434878424233,1.0008563668591968,282.97340072878666,84960.20498566123,0.009026279920914189,4.967982469780107e-06,0.0008700510553116825,0.2086573158512933,0.22210112815230598,0.17367555347861413,8.06897614780773e-08,3.2683739758661395e-07,4.237802570891223
14,999999999.9999999,5e-08,1.8,0.54,0.07196856730011521,283.0,85000.0,0.009030491912781378,PySDM,False,21.91800022125244,282.99122004283737,84989.96020088982,55.579819774925504,1.0009086617990806,282.97290494618164,84960.17952804828,0.009026456570338248,4.79132298891012e-06,0.0009188383111577991,0.2373658194546774,0.24158557215015178,0.19568326882234877,7.639489277905819e-08,3.28404643293923e-07,4.22256929642819
15,999999999.9999999,5e-08,1.8,0.54,0.08286427728546843,283.0,85000.0,0.009030491912781378,PySDM,False,21.654202938079834,282.99114868502386,84989.94147199621,48.271705625573155,1.0009644048493496,282.97237368232226,84960.14638912526,0.009026643774486798,4.6041083024743346e-06,0.0009709884207882435,0.25245045546010775,0.26216475078381385,0.20710713969181732,7.433396052635387e-08,3.2980820484068344e-07,4.203776041942706
16,999999999.9999999,5e-08,1.8,0.54,0.09540954763499938,283.0,85000.0,0.009030491912781378,PySDM,False,21.612454652786255,282.9910797987751,84989.9233917995,41.92452536618743,1.0010232978387097,282.97180950106446,84960.10514392663,0.009026840421529923,4.407450332103971e-06,0.0010267823880809601,0.2679991686990329,0.2838521867322311,0.2187728321032159,7.232862677762963e-08,3.3100955493783956e-07,4.1813580849200775
17,999999999.9999999,5e-08,1.8,0.54,0.10985411419875583,283.0,85000.0,0.009030491912781378,PySDM,False,23.51362681388855,282.9910137981232,84989.90606896857,45.51490889957609,1.0010513670621632,282.96677311994074,84949.92760456195,0.009025100395058723,6.147572837992695e-06,0.0010871772840537197,0.3004048048425358,0.30677925654391397,0.2734610687437443,6.847879565283847e-08,3.482766123128543e-07,4.391226399685744
18,999999999.9999999,5e-08,1.8,0.54,0.12648552168552957,283.0,85000.0,0.009030491912781378,PySDM,False,21.461910009384155,282.99095137054644,84989.88968394233,39.53021605453851,1.0011248665341557,282.9660857854754,84949.911568156,0.009025352173256935,5.895780028002419e-06,0.0011542512728393017,0.3172134795981782,0.33165312724437224,0.28743075781359123,6.663141877392265e-08,3.506458451528239e-07,4.368642723272858
19,999999999.9999999,5e-08,1.8,0.54,0.14563484775012436,283.0,85000.0,0.009030491912781378,PySDM,False,21.562962532043457,282.9908914486863,84989.87395657692,34.33244225021501,1.001203792425331,282.9653431093259,84949.88444677938,0.009025620734285074,5.6272035459407315e-06,0.0012256833214874252,0.3519042283185029,0.3572985713686641,0.3015575697874438,6.308483256990834e-08,3.527667029734602e-07,4.341092657365624
20,999999999.9999999,5e-08,1.8,0.54,0.16768329368110083,283.0,85000.0,0.009030491912781378,PySDM,False,21.642120838165283,282.9908347016998,84989.8590625026,29.818116582973214,1.0012875668965726,282.96455000753167,84949.84530624139,0.009025903903561868,5.344018159089902e-06,0.0013017845983556153,0.3697244350771237,0.3836880214783498,0.33331124096704134,6.138297055570552e-08,3.5456408293593546e-07,4.308535039039713
21,999999999.9999999,5e-08,1.8,0.54,0.19306977288832497,283.0,85000.0,0.009030491912781378,PySDM,False,20.543657541275024,282.9907813336668,84989.84505528325,25.897373396156063,1.0013755470654653,282.9637121716363,84949.79358529836,0.009026199348837265,5.048556304924425e-06,0.0013827004137851873,0.40614541420218286,0.4106199011893672,0.3444219422691511,5.811574316448144e-08,3.559424449247833e-07,4.271015069854291
22,999999999.9999999,5e-08,1.8,0.54,0.22229964825261944,283.0,85000.0,0.009030491912781378,PySDM,False,20.316741228103638,282.99073106165054,84989.83186065803,22.49216334484723,1.0014663599587075,282.9628428632795,84949.73047228881,0.009026502525303123,4.7453630901794635e-06,0.001469161383098383,0.42467357233228187,0.4381226421737337,0.35870605758254676,5.654793404635156e-08,3.5685170418214545e-07,4.228945462647123
23,999999999.9999999,5e-08,1.8,0.54,0.2559547922699536,283.0,85000.0,0.009030491912781378,PySDM,False,21.297227144241333,282.99068397315756,84989.81950159445,23.4416396223277,1.0015344768392977,282.9574413049445,84939.56437444765,0.009024902926014561,6.345049933492072e-06,0.0015649077670274458,0.4621738413375298,0.46705071041949076,0.4247698464349522,5.353806082971245e-08,3.792212104708113e-07,4.417416592498352
24,999999999.9999999,5e-08,1.8,0.54,0.29470517025518095,283.0,85000.0,0.009030491912781378,PySDM,False,20.179091215133667,282.99064028698945,84989.80803552041,20.35933063137198,1.0016501795874095,282.9563488038555,84939.51542693915,0.009025294790491885,5.953163073732966e-06,0.0016673408015399627,0.4810664532562446,0.4962954741376225,0.4368713485295572,5.2093745479597113e-08,3.8122740539708443e-07,4.368515722499028
25,999999999.9999999,5e-08,1.8,0.54,0.3393221771895328,283.0,85000.0,0.009030491912781378,PySDM,False,20.985202074050903,282.9905994118657,84989.79730724564,17.682310215310867,1.0017698121785366,282.95521317465426,84939.4517366313,0.00902569755905883,5.550371823574801e-06,0.0017768554662374036,0.5189335467437555,0.5256111643946049,0.4708893738472278,4.932095506881162e-08,3.825344495700829e-07,4.313977552605476
26,999999999.9999999,5e-08,1.8,0.54,0.3906939937054617,283.0,85000.0,0.009030491912781378,PySDM,False,20.604212522506714,282.99056184792266,84989.78744803843,17.916835458896752,1.0018532646011284,282.94964732230204,84929.2383171554,0.009024142165924912,7.105850839332762e-06,0.0018938719709122864,0.5378261586624702,0.5549539728483642,0.516023546289124,4.799040608395373e-08,4.068942865259172e-07,4.473466580503653
27,999999999.9999999,5e-08,1.8,0.54,0.44984326689694465,283.0,85000.0,0.009030491912781378,PySDM,False,20.164719343185425,282.9905271650649,84989.77834501401,15.560975377683363,1.0020016641307603,282.94825083294853,84929.18439022233,0.009024646180971832,6.601806815899125e-06,0.002023017479511502,0.5753264276677181,0.584867688974885,0.5313346734056137,4.543602385295432e-08,4.091398049761044e-07,4.4087841184579295
28,999999999.9999999,5e-08,1.8,0.54,0.517947467923121,283.0,85000.0,0.009030491912781378,PySDM,False,20.36656379699707,282.990495436677,84989.77001743327,13.514884102182755,1.0021529537215068,282.9468195967849,84929.11292460718,0.00902515696344149,6.090995449639375e-06,0.0021608423216170625,0.612183316264681,0.6144320481584331,0.5647439596450449,4.301760355923518e-08,4.103786248776424e-07,4.33852461503224
29,999999999.9999999,5e-08,1.8,0.54,0.5963623316594643,283.0,85000.0,0.009030491912781378,PySDM,False,21.039783716201782,282.99046610184956,84989.76231807737,13.414663494488066,1.0022733545878357,282.94089917729696,84918.8715049695,0.009023723982274872,7.52405556406425e-06,0.0023086700586443243,0.6302755649228763,0.64337235139368,0.6049730721149037,4.1857102334818514e-08,4.3763018978139386e-07,4.463533663190175
30,999999999.9999999,5e-08,1.8,0.54,0.6866488450043002,283.0,85000.0,0.009030491912781378,PySDM,False,20.360378742218018,282.9904392442972,84989.75526891847,11.65078782000995,1.0024566707094777,282.93917433569857,84918.80348389308,0.009024346043775925,6.901958443004137e-06,0.00247033238225014,0.6656100786266009,0.6722006624394797,0.6189851455287249,3.962917706454383e-08,4.3933596528311996e-07,4.380335910716858
31,999999999.9999999,5e-08,1.8,0.54,0.7906043210907697,283.0,85000.0,0.009030491912781378,PySDM,False,21.33182954788208,282.99041431116274,84989.7487248512,11.383696951697669,1.0026018491754274,282.93300758750553,84908.52500347515,0.009022991680853321,8.256396171443848e-06,0.0026421004615710952,0.6995951951574643,0.7000205829537093,0.6574840275938493,3.7519837428081556e-08,4.6825150793396e-07,4.474107045390874
32,999999999.9999999,5e-08,1.8,0.54,0.9102981779915218,283.0,85000.0,0.009030491912781378,PySDM,False,20.347166299819946,282.9903920212758,84989.74287454295,9.886870277888026,1.0028181501620888,282.93097915214486,84908.4572850935,0.009023727660284116,7.520374425317239e-06,0.002832144780908541,0.7160084144990728,0.7274473324660439,0.6868977883463006,3.650765140020937e-08,4.70072342716975e-07,4.376580688008787
33,999999999.9999999,5e-08,1.8,0.54,1.0481131341546852,283.0,85000.0,0.009030491912781378,PySDM,False,20.23786234855652,282.99037176305853,84989.73755747615,9.540954763499945,1.0030009132572575,282.92445378356786,84898.15355891662,0.00902249823421101,8.749868065210971e-06,0.0030347230616645238,0.7475495445398922,0.7535498501463882,0.7222470517319196,3.456446100775715e-08,5.009919769562941e-07,4.436627665021647
