simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev,mode_2_act_frac_S,mode_2_act_frac_S_interp,mode_2_act_frac_V,mode_2_smallest_dry_radius_activated,mode_2_wet_radius_mean,mode_2_wet_radius_stdev
10,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.040949150623804255,294.0,100000.0,0.015720275224661653,PySDM,False,7.143636703491211,293.9943099162255,99989.53311606603,244.20530945486513,1.0002644036820822,293.95842787504455,99885.63696883606,0.0157017962738591,9.97782420446821e-05,0.0002651376071076683,0.6121833159811155,0.6220918799379954,0.0,1.7021582991809894e-07,2.351993180921597e-06,4.147228364375315,0.0,0.0,0.0,,6.511056388236553e-08,4.189706744887252
11,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.04714866363457394,294.0,100000.0,0.015720275224661653,PySDM,False,7.207660913467407,293.99406481658383,99989.4594993758,190.88557991281715,1.000293994261854,293.96198385769003,99897.2957127487,0.0157039136907553,9.766071862659696e-05,0.0002944667416719948,0.6480957714992356,0.6605525802366785,0.0,1.595834783844783e-07,2.3597718499545677e-06,4.112506531749901,0.0,0.0,0.0,,6.527892570263571e-08,4.2020581863879
12,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.054286754393238594,294.0,100000.0,0.015720275224661653,PySDM,False,7.138465881347656,293.99381199666544,99989.38356385723,147.3655975461373,1.0003274241007796,293.9654926368967,99908.95445955438,0.015706046574090186,9.552772733328729e-05,0.000328018484148318,0.6827865201983709,0.6985239375146064,0.0,1.4961526542826808e-07,2.3656223862508924e-06,4.074030030971403,0.0,0.0,0.0,,6.547899906889099e-08,4.216925379572482
13,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.06250551925273973,294.0,100000.0,0.015720275224661653,PySDM,False,7.2240376472473145,293.993552210224,99989.30553590046,111.99011037242407,1.0003656703626942,293.9689416579842,99920.61107651274,0.01570819857126288,9.337561897712745e-05,0.00036631648936946704,0.7160084144066151,0.735437157796784,0.0,1.4026970633664474e-07,2.3680366743933764e-06,4.031976599072783,0.0,0.0,0.0,,6.571867648397707e-08,4.235013743562236
14,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.07196856730011521,294.0,100000.0,0.015720275224661653,PySDM,False,9.868602752685547,293.99329477702076,99989.2282147356,97.26468460611963,1.0004088671252962,293.9684179023318,99920.609260832,0.01570837564956747,9.319853148268447e-05,0.00040991769902154473,0.7475495444526249,0.770752082913339,0.0,1.3150790769543437e-07,2.397836499891433e-06,4.001901797349337,0.0,0.0,0.0,,6.600698339195102e-08,4.257268838197742
15,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.08286427728546843,294.0,100000.0,0.015720275224661653,PySDM,False,7.192039966583252,293.99304040747785,99989.15181373968,84.47548484475301,1.0004577565918162,293.96782500173924,99920.60676031624,0.015708575979334494,9.299819089975163e-05,0.00045930702099461485,0.7772369504223727,0.8039371664616577,0.0,1.2329340552638482e-07,2.4307038665620505e-06,3.9668212176372686,0.0,0.0,0.0,,6.636044411719835e-08,4.285284777691405
16,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.09540954763499938,294.0,100000.0,0.015720275224661653,PySDM,False,7.062443971633911,293.9927927766991,99989.07743674649,73.367919390828,1.0005130364851567,293.9671543191562,99920.60298321779,0.01570880232102728,9.277183631115703e-05,0.000515159067142168,0.8305653040767874,0.8339827322827,0.0,1.0837168083756321e-07,2.4668809988525047e-06,3.925995472399132,0.0,0.0,0.0,,6.680894179341649e-08,4.322160526165043
17,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.10985411419875583,294.0,100000.0,0.015720275224661653,PySDM,False,7.105984687805176,293.9925542358418,99989.00578993719,63.72087245940653,1.0005756990112162,293.9663935190065,99920.59693228103,0.015709058573721124,9.251556798962607e-05,0.000578191652541804,0.8540675904729313,0.8611986786304027,0.1568430686741801,1.0160235857471184e-07,2.5064802665099327e-06,3.8787400769203635,0.0,0.0,0.0,,6.740274178962305e-08,4.373387219593515
18,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.12648552168552957,294.0,100000.0,0.015720275224661653,PySDM,False,7.040843725204468,293.99232749535116,99988.93768740767,55.34230247635392,1.0006464603292817,293.9655334945659,99920.58725758657,0.01570934744127054,9.222668139694498e-05,0.0006491718912597921,0.8754360733541832,0.8856316178686816,0.20597181897369576,9.525587485735686e-08,2.5494774013378602e-06,3.8244835998472695,0.0028212068701822784,0.005723766752134093,0.0,9.712353394428591e-08,6.820346357491856e-08,4.44584184595291
19,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.14563484775012436,294.0,100000.0,0.015720275224661653,PySDM,False,7.023261547088623,293.99211368699594,99988.87346909144,48.06541915030101,1.0007263539622913,293.96456111180527,99920.57204357634,0.01570967283193288,9.190126740342387e-05,0.000728847151083567,0.8946970987874001,0.9072347814737275,0.22734030185494755,8.930581752359826e-08,2.595563569886444e-06,3.7629086533804315,0.01053051666040452,0.010720761270324192,0.0028212068701822784,8.536904774014001e-08,6.92427280180581e-08,4.542557239294754
